Seed	Name	Team	Grade	Record	Scoring
17.	Andrews, Jake	CSU Bakersfield		26-3	Yes
27.	Barket, Connor	Duke		24-10	Yes
23.	Bucknavich, Daniel	Cleveland State		26-5	Yes
21.	Bullock, Jacob	Indiana		18-10	Yes
22.	Colbert, Brady	Army West Point		36-7	Yes
29.	Davis, Ashton	Cornell		17-5	Yes
19.	Day, Cory	Binghamton		20-6	Yes
12.	Feldman, Nick	Ohio State		17-7	Yes
33.	Filipovich, Hayden	Purdue		12-16	Yes
20.	Greer, Jordan	Ohio		22-5	Yes
6.	Heindselman, Joshua	Michigan		22-4	Yes
2.	Hendrickson, Wyatt	Oklahoma State		22-0	Yes
28.	Herrera, Daniel	Iowa State		26-13	Yes
14.	Hoffman, Gavin	Lock Haven		19-2	Yes
3.	Kerkvliet, Greg	Penn State		18-1	Yes
5.	Kueter, Ben	Iowa		18-6	Yes
8.	Luffman, Luke	Illinois		16-6	Yes
26.	Ming, Peter	Stanford		11-9	Yes
30.	Mitchell, Sam	Wyoming		27-10	Yes
32.	Monchery, Stephan	Appalachian State		19-9	Yes
11.	Mullen, Jimmy	Virginia Tech		20-5	Yes
24.	Neves, Nolan	North Carolina		16-10	Yes
13.	Nevills, Seth	Maryland		19-6	Yes
10.	Pitzer, Dayton	Pittsburgh		14-4	Yes
25.	Rasmussen, Luke	South Dakota State		22-9	Yes
18.	Runyon, Lance	Northern Iowa		18-7	Yes
9.	Schultz, Cohlton	Arizona State		21-5	Yes
16.	Slavikouski, Yaraslau	Rutgers		15-7	Yes
1.	Steveson, Gable	Minnesota		14-0	Yes
15.	Tinker, Trevor	Cal Poly		22-5	Yes
4.	Trephan, Owen	Lehigh		21-0	Yes
7.	Trumble, Isaac	NC State		17-5	Yes
31.	Vanadia, Max	Michigan State		17-17	Yes
