Seed	Name	Team	Grade	Record	Scoring
15.	Augustine, Luca	Pittsburgh		17-8	Yes
30.	Bassett, Avery	Lock Haven		25-8	Yes
26.	Baumann, Brody	Purdue		18-11	Yes
20.	Braunagel, Dan	Illinois		12-9	Yes
6.	Cassella, Brevin	Binghamton		25-4	Yes
10.	Cramer, Alex	Central Michigan		26-6	Yes
17.	Desiante, Sergio	Chattanooga		21-2	Yes
13.	DeVos, Cade	South Dakota State		19-7	Yes
23.	Gaitan, MJ	Iowa State		16-9	Yes
2.	Haines, Levi	Penn State		20-1	Yes
3.	Hamiti, Dean	Oklahoma State		22-1	Yes
25.	Harkins, Dalton	Army West Point		19-9	Yes
22.	Incontrera, Nick	Pennsylvania		22-6	Yes
31.	John, Branson	Maryland		14-17	Yes
11.	Kennedy, Patrick	Iowa		13-5	Yes
9.	Kharchla, Carson	Ohio State		14-3	Yes
32.	McGill, Jack	Columbia		19-12	Yes
16.	Norman, Lorenzo	Stanford		20-4	Yes
21.	Ogunsanya, Joshua	North Carolina		13-5	Yes
1.	O`Toole, Keegan	Missouri		16-0	Yes
8.	Pinto, Lenny	Nebraska		22-5	Yes
27.	Queen, Jasiah	Drexel		21-5	Yes
5.	Ruiz, Simon	Cornell		21-5	Yes
18.	Sax, Gaven	Oklahoma		14-5	Yes
19.	Simma, Jared	Northern Iowa		21-13	Yes
14.	Singleton, Matthew	NC State		17-7	Yes
12.	Takats, Myles	Bucknell		23-7	Yes
4.	Thompson, Garrett	Ohio		29-5	Yes
29.	Turley, Jackson	Rutgers		18-10	Yes
7.	Wask, Danny	Navy		20-6	Yes
28.	Whiting, Clayton	Minnesota		16-10	Yes
33.	Wilson, Michael	Rider		16-13	Yes
24.	Wolak, Lennox	Virginia Tech		13-10	Yes
