Seed	Name	Team	Grade	Record	Scoring
5.	Amine, Myles	Michigan		21-6	Yes
22.	Bastian, Kimball	Utah Valley		19-9	Yes
8.	Bernstein, Jadaen	Navy		22-5	Yes
23.	Bolen, Hunter	Virginia Tech		21-10	Yes
16.	Brucki, Christian	Central Michigan		23-11	Yes
19.	Bullard, Daniel	NC State		16-9	Yes
21.	Christensen, Ryan	Wisconsin		24-13	Yes
32.	Finesilver, Matt	Duke		25-9	Yes
20.	Gunther, Joseph	Iowa		16-7	Yes
2.	Hall, Mark	Penn State		28-0	Yes
28.	Harvey, Ben	Army West Point		19-9	Yes
29.	Johnson, Josef	Harvard		28-11	Yes
6.	Jordan, Bo	Ohio State		23-5	Yes
11.	Kocer, David	South Dakota State		24-6	Yes
4.	Kutler, Jordan	Lehigh		24-3	Yes
3.	Lewis, Daniel	Missouri		29-0	Yes
7.	Lujan, Taylor	Northern Iowa		28-5	Yes
15.	Lydy, Dylan	Purdue		32-12	Yes
14.	Mejias, Yoanse	Oklahoma		28-9	Yes
12.	Przybysz, Forrest	Appalachian State		24-7	Yes
10.	Ramos, Ethan	North Carolina		17-4	Yes
31.	Rose, Austin	Drexel		20-16	Yes
26.	Schany, Will	Virginia		18-12	Yes
25.	Schoffstall, Ty	Edinboro		21-3	Yes
18.	Sebastian, Johnny	Northwestern		26-10	Yes
30.	Sherry, Dean	Rider		19-9	Yes
24.	Skatzka, Devin	Indiana		22-11	Yes
13.	Smith, Jacobe	Oklahoma State		18-5	Yes
9.	Subjeck, Keaton	Stanford		26-7	Yes
1.	Valencia, Zahid	Arizona State		27-0	Yes
27.	Womack, Brandon	Cornell		17-9	Yes
17.	Wright, Seldon	Old Dominion		25-10	Yes
