Seed	Name	Team	Grade	Record	Scoring
14.	Ashworth, Branson	Wyoming		34-4	Yes
17.	Atkinson, Andrew	Virginia		19-7	Yes
20.	Barnes, Dawaylon	Oklahoma		20-15	Yes
13.	Campbell, Te`shan	Ohio State		17-10	Yes
32.	Carson, Zachary	Eastern Michigan		21-11	Yes
16.	Chavez, Jonathon	Cornell		18-4	Yes
23.	Daniels, Drew	Navy		27-5	Yes
31.	Finesilver, Zach	Duke		11-11	Yes
19.	Flynn, Connor	Missouri		24-7	Yes
18.	Fogarty, Andrew	North Dakota State		29-10	Yes
26.	Higgins, Nate	Southern Illinois Edwardsville		21-9	Yes
3.	Joseph, Vincenzo	Penn State		20-2	Yes
6.	Lewis, Richie	Rutgers		18-4	Yes
5.	Marinelli, Alex	Iowa		16-3	Yes
9.	Marsteller, Chance	Lock Haven		40-2	Yes
24.	Martin, Bryce	Indiana		15-8	Yes
1.	Martinez, Isaiah	Illinois		14-0	Yes
7.	Massa, Logan	Michigan		16-6	Yes
2.	McFadden, David	Virginia Tech		31-0	Yes
28.	Morrissey, Jacob	Purdue		21-18	Yes
27.	Perez, Quentin	Campbell		25-8	Yes
8.	Rogers, Chandler	Oklahoma State		20-3	Yes
22.	Romero, Demetrius	Utah Valley		25-7	Yes
30.	Schleifer, Jonathan	Princeton		16-11	Yes
21.	Torres, Keilan	Northern Colorado		22-10	Yes
15.	Valencia, Anthony	Arizona State		25-8	Yes
25.	Viruet, Jonathan	Brown		21-13	Yes
4.	Walsh, Chad	Rider		24-1	Yes
12.	Wanzek, Nicholas	Minnesota		22-10	Yes
11.	White, Isaiah	Nebraska		23-6	Yes
10.	Wick, Evan	Wisconsin		23-6	Yes
29.	Wolf, Gordon	Lehigh		18-9	Yes
