Seed	Name	Team	Grade	Record	Scoring
28.	Amine, Malik	Michigan		15-12	Yes
16.	Bannister, Alfred	Maryland		23-8	Yes
12.	Blees, Ryan	Virginia Tech		22-7	Yes
30.	Bleise, Steve	Minnesota		18-7	Yes
7.	Deakin, Ryan	Northwestern		30-5	Yes
20.	Degen, Jarrett	Iowa State		20-9	Yes
14.	Donahue, Beau	NC State		19-6	Yes
26.	Garcia, Frank	Binghamton		27-11	Yes
5.	Hayes, Ke-Shawn	Ohio State		27-5	Yes
4.	Heilmann, Troy	North Carolina		28-4	Yes
25.	Jeffries, Davion	Oklahoma		24-17	Yes
11.	Kolodzik, Matthew	Princeton		24-5	Yes
27.	Krivus, Sam	Virginia		18-13	Yes
3.	Leeth, Grant	Missouri		22-2	Yes
8.	Lewallen, Boo	Oklahoma State		26-5	Yes
19.	Martin, Cole	Wisconsin		17-12	Yes
13.	McCrystal, Colton	Nebraska		21-5	Yes
24.	Olivas, Khristian	Fresno State		24-6	Yes
6.	Oliver, Justin	Central Michigan		25-5	Yes
22.	Ortz, Taylor	Clarion		26-10	Yes
15.	Perry, Ronald	Lock Haven		28-3	Yes
31.	Prince, Jared	Navy		22-4	Yes
1.	Retherford, Zain	Penn State		26-0	Yes
23.	Robbins, Dane	Air Force		16-12	Yes
18.	Schuyler, Cortlandt	Lehigh		12-10	Yes
2.	Sorensen, Brandon	Iowa		21-2	Yes
21.	Sprague, Michael	American		23-13	Yes
32.	Springer, Kyle	Eastern Michigan		21-16	Yes
9.	Thomsen, Max	Northern Iowa		25-7	Yes
10.	Tsirtsis, Jason	Arizona State		17-6	Yes
17.	Turner, Sam	Wyoming		25-15	Yes
29.	Williams, Tyshawn	Southern Illinois Edwardsville		15-13	Yes
