Seed	Name	Team	Grade	Record	Scoring
30.	Allen, Alonzo	Chattanooga		21-8	Yes
21.	Bianchi, Paul	North Dakota State		24-13	Yes
9.	Bresser, Ronnie	Oregon State		19-4	Yes
19.	Brown, Connor	South Dakota State		25-14	Yes
23.	Bunduka, Ibrahim	George Mason		23-12	Yes
1.	Cruz, Darian	Lehigh		26-0	Yes
22.	Curry, Gage	American		22-14	Yes
5.	Fausz, Sean	NC State		14-2	Yes
32.	Foley, RayVon	Michigan State		28-9	Yes
12.	Hayes, Louie	Virginia		29-6	Yes
26.	Hudkins, Brock	Northern Illinois		17-10	Yes
7.	LaMont, Taylor	Utah Valley		25-3	Yes
3.	Lee, Spencer	Iowa		17-2	Yes
8.	Lizak, Ethan	Minnesota		26-5	Yes
17.	Mattin, Drew	Michigan		19-12	Yes
28.	McGee, Michael	Old Dominion		28-8	Yes
25.	McGhee, Barlow	Missouri		15-11	Yes
15.	Millhof, Ryan	Arizona State		15-5	Yes
13.	Moisey, Zeke	West Virginia		22-9	Yes
18.	Moody, Christian	Oklahoma		23-13	Yes
20.	Norstrem, Kyle	Virginia Tech		11-14	Yes
24.	Oliver, Elijah	Indiana		17-12	Yes
6.	Piccininni, Nicholas	Oklahoma State		22-3	Yes
27.	Piotrowski, Travis	Illinois		17-8	Yes
10.	Rivera, Sebastian	Northwestern		26-5	Yes
11.	Russell, Sean	Edinboro		30-5	Yes
16.	Schwarm, Jacob	Northern Iowa		25-10	Yes
4.	Suriano, Nick	Rutgers		21-0	Yes
2.	Tomasello, Nathan	Ohio State		11-1	Yes
31.	Townsell, Gabe	Stanford		19-13	Yes
14.	Welch, Luke	Purdue		29-9	Yes
29.	Wert, Gerald (JR)	Rider		17-7	Yes
