Seed	Name	Team	Grade	Record	Scoring
5.	Abounader, Domenic	Michigan		23-5	Yes
18.	Bowman, Mitchell	Iowa		12-11	Yes
30.	Bulsak, Greg	Clarion		21-7	Yes
12.	Carr, Bryce	Chattanooga		26-5	Yes
28.	Clothier, Alan	Appalachian State		27-9	Yes
27.	Coleman, Michael	Navy		31-6	Yes
9.	Dean, Maxwell	Cornell		28-3	Yes
22.	DeCiantis, Alexander	Drexel		18-6	Yes
16.	Ellingwood, Jordan	Central Michigan		25-10	Yes
8.	Foster, Drew	Northern Iowa		25-4	Yes
24.	Gabel, Dylan	Northern Colorado		22-8	Yes
31.	Gorman, Bryce	Northern Illinois		11-8	Yes
14.	Gravina, Nick	Rutgers		17-5	Yes
21.	Hazel, Corey	Lock Haven		23-8	Yes
20.	Heyob, Joe	Pennsylvania		23-10	Yes
19.	LaFragola, Christian	Brown		19-8	Yes
17.	MacCallum, Kayne	Eastern Michigan		17-13	Yes
15.	Marriott, Canten	Missouri		25-6	Yes
2.	Martin, Myles	Ohio State		27-2	Yes
29.	Moore, Keegan	Oklahoma State		18-8	Yes
32.	Mueller, Martin	South Dakota State		26-6	Yes
23.	Ness, Chip	North Carolina		16-10	Yes
1.	Nickal, Bo	Penn State		26-0	Yes
25.	Norfleet, Kordell	Arizona State		12-11	Yes
10.	Parker, Emory	Illinois		21-3	Yes
26.	Polson, Chaz	Wyoming		31-11	Yes
3.	Preisch, Ryan	Lehigh		14-2	Yes
4.	Renda, Pete	NC State		21-2	Yes
11.	Robertson, Ricky	Wisconsin		24-9	Yes
13.	Schneider, Steven	Binghamton		21-5	Yes
7.	Venz, Taylor	Nebraska		23-7	Yes
6.	Zavatsky, Zachary	Virginia Tech		28-5	Yes
