Seed	Name	Team	Grade	Record	Scoring
14.	Boykin, Michael	NC State		20-6	Yes
7.	Butler, Nathan	Stanford		24-7	Yes
2.	Coon, Adam	Michigan		25-1	Yes
26.	Dempsey, Brett	American		18-11	Yes
24.	Dennison, Dustin	Utah Valley		29-9	Yes
6.	Dhesi, Amar	Oregon State		20-2	Yes
27.	Dunn, Andrew	Virginia Tech		21-13	Yes
23.	Gilliland-Daniel, Cory	North Carolina		23-7	Yes
22.	Gunning, Jake	Buffalo		17-6	Yes
15.	Haines, Thomas	Lock Haven		18-5	Yes
8.	Hall, Tanner	Arizona State		20-6	Yes
17.	Heino, Jere	Campbell		24-5	Yes
12.	Hemida, Youssif	Maryland		27-5	Yes
11.	Hughes, Mike	Hofstra		34-3	Yes
19.	Hutchison, Gage	Eastern Michigan		19-7	Yes
18.	Jennings, Conan	Northwestern		25-10	Yes
4.	Kasper, Jacob	Duke		35-2	Yes
21.	Love, Tyler	Virginia		9-17	Yes
13.	Miller, William	Edinboro		16-4	Yes
3.	Nevills, Nick	Penn State		26-5	Yes
29.	Nevills, AJ	Fresno State		26-8	Yes
28.	Pelusi, Antonio	Franklin & Marshall		24-8	Yes
25.	Ryan, Garrett	Columbia		30-6	Yes
1.	Snyder, Kyle	Ohio State		12-1	Yes
32.	Solomon, Ryan	Pittsburgh		20-9	Yes
16.	Stencel, Matt	Central Michigan		28-13	Yes
5.	Stoll, Samuel	Iowa		19-4	Yes
20.	Streck, Shawn	Purdue		28-13	Yes
30.	Suglio, Stephen	Kent State		20-8	Yes
31.	Voss, Matt	George Mason		23-11	Yes
9.	White, Derek	Oklahoma State		23-2	Yes
10.	Wood, Jordan	Lehigh		19-5	Yes
