Seed	Name	Team	Grade	Record	Scoring
8.	Bridges, Montorie	Wyoming		32-4	Yes
4.	Brock, Kaid	Oklahoma State		25-3	Yes
19.	Delvecchio, Scott	Rutgers		21-7	Yes
7.	DeSanto, Austin	Drexel		28-5	Yes
29.	Duncan, Dylan	Illinois		20-7	Yes
5.	Erneste, John	Missouri		24-2	Yes
17.	Finesilver, Josh	Duke		20-18	Yes
11.	Forys, Dom	Pittsburgh		21-4	Yes
1.	Gross, Seth	South Dakota State		24-1	Yes
9.	Gustafson, Dennis	Virginia Tech		23-7	Yes
22.	Keener, Corey	Penn State		16-8	Yes
13.	Lantry, Bryan	Buffalo		16-5	Yes
16.	McKee, Mitch	Minnesota		18-6	Yes
2.	Micic, Stevan	Michigan		22-2	Yes
21.	Montoya, Rico	Northern Colorado		23-12	Yes
10.	Mueller, Jack	Virginia		21-5	Yes
26.	Muldoon, John	Southern Illinois Edwardsville		15-5	Yes
14.	Myers, Korbin	Edinboro		27-9	Yes
15.	Naser, Ali	Arizona State		21-11	Yes
23.	Nickell, Sean	CSU Bakersfield		22-10	Yes
6.	Parker, Scott	Lehigh		18-3	Yes
30.	Pengilly, Mason	Stanford		4-1	Yes
3.	Pletcher, Luke	Ohio State		26-2	Yes
32.	Schmitt, Matthew	West Virginia		21-12	Yes
31.	Sherman, Zachary	North Carolina		15-17	Yes
27.	Sykora, Cam	North Dakota State		22-10	Yes
12.	Terao, Josh	American		29-8	Yes
25.	Thornton, Ben	Purdue		26-11	Yes
24.	Tucker, Charles	Cornell		21-9	Yes
18.	Tutolo, Anthony	Kent State		27-11	Yes
20.	Valdiviez, Colin	Northwestern		18-11	Yes
28.	Wilson, Tariq	NC State		22-9	Yes
