Seed	Name	Team	Grade	Record	Scoring
8.	Berger, Tyler	Nebraska		22-8	Yes
28.	Brown, Ian	Lehigh		17-10	Yes
9.	Colgan, Archie	Wyoming		32-7	Yes
14.	Crone, Andrew	Wisconsin		27-10	Yes
16.	D`Angelo, Mike	Princeton		22-8	Yes
12.	Finesilver, Mitch	Duke		17-4	Yes
22.	Fox, Paul	Stanford		20-7	Yes
32.	Hammond, Garett	Drexel		19-5	Yes
27.	Hammond, Coleman	CSU Bakersfield		27-13	Yes
30.	Heffernan, Colin	Central Michigan		19-6	Yes
1.	Hidlay, Hayden	NC State		22-0	Yes
7.	Jordan, Micah	Ohio State		22-6	Yes
6.	Kemerer, Michael	Iowa		22-1	Yes
18.	Klucker, Alex	Lock Haven		25-9	Yes
2.	Lavallee, Joey	Missouri		29-1	Yes
19.	Marinelli, Tyler	Gardner-Webb		26-6	Yes
31.	Monday, Kennedy	North Carolina		18-14	Yes
3.	Nolf, Jason	Penn State		21-1	Yes
5.	Pantaleo, Alec	Michigan		17-5	Yes
17.	Rahmani, Taleb	Pittsburgh		17-12	Yes
11.	Ream, Clayton	North Dakota State		23-4	Yes
10.	Scheidel, Markus	Columbia		24-2	Yes
4.	Shields, Joshua	Arizona State		29-2	Yes
23.	Shomers, Andrew	Edinboro		29-6	Yes
29.	Short, Jake	Minnesota		16-11	Yes
21.	Sparkman, Casey	Kent State		22-16	Yes
20.	Staudenmayer, Justin	Brown		22-10	Yes
15.	Van Brill, John	Rutgers		20-12	Yes
25.	Velliquette, Joseph	Pennsylvania		17-14	Yes
26.	Weiland, Luke	Army West Point		22-15	Yes
24.	Willits, Hunter	Oregon State		18-14	Yes
13.	Zilverberg, Luke	South Dakota State		30-8	Yes
