Seed	Name	Team	Grade	Record	Scoring
9.	Alber, Josh	Northern Iowa		25-6	Yes
20.	Anthony, Tejon	George Mason		21-13	Yes
11.	Carr, Michael	Illinois		17-5	Yes
27.	Cheek, Evan	Cleveland State		24-8	Yes
3.	Diakomihalis, Yianni	Cornell		29-1	Yes
25.	Diehl, Ryan	Maryland		12-12	Yes
2.	Eierman, Jaydin	Missouri		28-1	Yes
19.	Enriquez, Irvin	Appalachian State		17-11	Yes
14.	Gil, Nicholas	Navy		31-8	Yes
31.	Headlee, Austin	North Carolina		15-13	Yes
6.	Heil, Dean	Oklahoma State		23-5	Yes
5.	Jack, Kevin	NC State		18-3	Yes
13.	Karam, Luke	Lehigh		20-7	Yes
8.	Lee, Nick	Penn State		27-5	Yes
15.	Limmex, Nate	Purdue		25-14	Yes
29.	Madrigal, Alex	Old Dominion		20-8	Yes
4.	McKenna, Joey	Ohio State		16-1	Yes
1.	Meredith, Bryce	Wyoming		29-1	Yes
21.	Moore, Brent	Virginia Tech		19-10	Yes
24.	Perry, Sa`Derian	Eastern Michigan		15-16	Yes
22.	Pohlmeyer, Henry	South Dakota State		23-9	Yes
26.	Red, Chad	Nebraska		21-9	Yes
28.	Rohlfing, Russell	CSU Bakersfield		22-11	Yes
32.	Schilling, Colton	Cal Poly		14-5	Yes
10.	Smith, Mason	Central Michigan		31-5	Yes
12.	Smith, Tyler	Bucknell		27-4	Yes
18.	Stickley, Eli	Wisconsin		19-12	Yes
23.	Thorn, Thomas	Minnesota		18-11	Yes
17.	Turk, Vincent	Iowa		13-8	Yes
16.	Weaver, Cole	Indiana		24-10	Yes
7.	Zacherl, Brock	Clarion		27-1	Yes
30.	Zanetta, Nick	Pittsburgh		20-10	Yes
