Seed	Name	Team	Grade	Record	Scoring
33.	Anderson, Ben	Duke		8-14	Yes
15.	Barone, Eric	Illinois		16-14	Yes
31.	Barton, Benjamin	Campbell		11-3	Yes
2.	Berger, Tyler	Nebraska		24-3	Yes
10.	Bleise, Steve	Minnesota		18-7	Yes
22.	Carson, Zac	Ohio		19-9	Yes
3.	Deakin, Ryan	Northwestern		29-4	Yes
7.	Early, Larry	Old Dominion		22-5	Yes
14.	Hartman, Zach	Bucknell		26-7	Yes
11.	Hayes, Ke-Shawn	Ohio State		20-9	Yes
5.	Hidlay, Hayden	NC State		20-2	Yes
8.	Humphreys, Josh	Lehigh		19-6	Yes
13.	Jacques, Jarrett	Missouri		27-6	Yes
32.	Klucker, Alexander	Lock Haven		21-9	Yes
30.	Labrie, Christian	Brown		17-18	Yes
17.	LaPrade, BC	Virginia Tech		17-9	Yes
24.	McClure, Joshua	North Carolina		20-11	Yes
26.	Monday, Quincy	Princeton		24-11	Yes
1.	Nolf, Jason	Penn State		26-0	Yes
9.	Pagdilao, Christian	Arizona State		22-8	Yes
4.	Pantaleo, Alec	Michigan		18-7	Yes
18.	Parks, Logan	Central Michigan		22-12	Yes
19.	Parriott, Griffin	Purdue		15-11	Yes
12.	Rahmani, Taleb	Pittsburgh		16-6	Yes
27.	Reed, Dan	Columbia		27-8	Yes
25.	Ruffin, Justin	SIU Edwardsville		17-10	Yes
29.	Smythe, Alex	Buffalo		15-7	Yes
23.	Straw, Chase	Iowa State		21-10	Yes
21.	Thomas, Justin	Oklahoma		21-9	Yes
16.	Van Brill, John	Rutgers		19-14	Yes
20.	Weiland, Luke	Army West Point		24-10	Yes
28.	Willits, Hunter	Oregon State		19-8	Yes
6.	Young, Kaleb	Iowa		20-5	Yes
