Seed	Name	Team	Grade	Record	Scoring
13.	Bonaccorsi, Nino	Pittsburgh		19-6	Yes
19.	Caffey, Cameron	Michigan State		29-7	Yes
10.	Colbray, Samuel	Iowa State		26-6	Yes
32.	Coleman, Bob	Oregon State		16-14	Yes
5.	Dean, Maxwell	Cornell		21-5	Yes
11.	Deprez, Lou	Binghamton		30-5	Yes
30.	Ducharme, Dom	CSU Bakersfield		22-12	Yes
6.	Foster, Drew	Northern Iowa		23-5	Yes
26.	Geer, Dakota	Oklahoma State		25-5	Yes
21.	Gravina, Nick	Rutgers		6-3	Yes
24.	Harvey, Tanner	American		28-11	Yes
16.	Hazel, Corey	Lock Haven		15-3	Yes
23.	Hemauer, Jackson	Fresno State		23-11	Yes
33.	Kober, Chris	Campbell		20-8	Yes
27.	LaFragola, Christian	Brown		24-9	Yes
25.	Lyon, Max	Purdue		23-12	Yes
1.	Martin, Myles	Ohio State		20-0	Yes
17.	McNally, Andrew	Kent State		31-7	Yes
15.	Ness, Chip	North Carolina		19-12	Yes
31.	Parker, Kevin	Princeton		22-11	Yes
4.	Parker, Emery	Illinois		17-3	Yes
8.	Preisch, Ryan	Lehigh		20-3	Yes
2.	Rasheed, Shakur	Penn State		18-0	Yes
7.	Reenan, Nick	NC State		15-4	Yes
22.	Reinhardt, Mason	Wisconsin		21-13	Yes
18.	Samuelson, Tate	Wyoming		23-7	Yes
29.	Schany, Will	Virginia		14-14	Yes
28.	Stewart, Noah	Army West Point		19-10	Yes
20.	Sumner, Will	Utah Valley		21-11	Yes
9.	Venz, Taylor	Nebraska		21-7	Yes
12.	Wilcke, Cash	Iowa		21-6	Yes
14.	Wisman, Dylan	Missouri		16-7	Yes
3.	Zavatsky, Zachary	Virginia Tech		24-3	Yes
