Seed	Name	Team	Grade	Record	Scoring
19.	Andrews, Brian	Wyoming		34-10	Yes
33.	Aven, Jacob	Purdue		11-21	Yes
26.	Butterbrodt, Ian	Brown		18-6	Yes
2.	Cassar, Anthony	Penn State		25-1	Yes
6.	Dhesi, Amar	Oregon State		10-1	Yes
20.	Elam, Zach	Missouri		22-9	Yes
21.	Gilliland-Daniel, Cory	North Carolina		22-9	Yes
18.	Goodhart, Joseph	Drexel		33-7	Yes
25.	Gremmel, Gannon	Iowa State		25-13	Yes
11.	Haines, Thomas	Lock Haven		23-4	Yes
10.	Hemida, Youssif	Maryland		16-6	Yes
7.	Hillger, Trent	Wisconsin		22-6	Yes
12.	Jennings, Conan	Northwestern		18-10	Yes
17.	Jensen, David	Nebraska		15-7	Yes
24.	Maley, Haydn	Stanford		23-10	Yes
29.	McKiernan, Colton	SIU Edwardsville		21-12	Yes
22.	Miller, Billy	Virginia Tech		16-7	Yes
27.	Miller, Cary	Appalachian State		23-11	Yes
14.	Nevills, AJ	Fresno State		24-7	Yes
32.	Ngati, Brandon	West Virginia		14-14	Yes
15.	Orndorff, Tate	Utah Valley		24-7	Yes
30.	Parker, Zack	Ohio		15-12	Yes
5.	Parris, Mason	Michigan		29-7	Yes
31.	Pelusi, Antonio	Franklin and Marshall		25-9	Yes
16.	Singletary, Chase	Ohio State		19-7	Yes
9.	Stencel, Matt	Central Michigan		27-4	Yes
3.	Steveson, Gable	Minnesota		30-1	Yes
28.	Stoll, Sam	Iowa		9-5	Yes
23.	Sweany, Jeramy	Cornell		15-8	Yes
8.	Thomas, Demetrius	Pittsburgh		26-4	Yes
13.	Voss, Matt	George Mason		30-6	Yes
1.	White, Derek	Oklahoma State		28-1	Yes
4.	Wood, Jordan	Lehigh		21-3	Yes
