Seed	Name	Team	Grade	Record	Scoring
26.	Allen, Alonzo	Chattanooga		22-9	Yes
8.	Arujau, Vitali	Cornell		26-2	Yes
4.	Bresser, Ronnie	Oregon State		23-1	Yes
33.	Chalifoux, Trey	Army West Point		21-13	Yes
28.	Curry, Gage	American		23-11	Yes
14.	Fausz, Sean	NC State		11-2	Yes
23.	Ferrante, Carmen	Pennsylvania		24-8	Yes
10.	Fleetwood, Brent	North Dakota State		24-4	Yes
9.	Foley, RayVon	Michigan State		31-4	Yes
32.	Girard, Willy	Bloomsburg		23-11	Yes
7.	Glory, Pat	Princeton		26-4	Yes
25.	Heinselman, Malik	Ohio State		23-9	Yes
13.	Hildebrandt, Drew	Central Michigan		19-8	Yes
3.	Lee, Spencer	Iowa		18-3	Yes
19.	Mackall, Alex	Iowa State		25-10	Yes
16.	Mattin, Drew	Michigan		18-7	Yes
12.	McGee, Michael	Old Dominion		28-4	Yes
31.	Meink, Korbin	Campbell		14-11	Yes
18.	Moisey, Zeke	Nebraska		13-10	Yes
24.	Montoya, Rico	Northern Colorado		16-9	Yes
29.	Moody, Christian	Oklahoma		13-9	Yes
5.	Mueller, Jack	Virginia		17-0	Yes
15.	Oliver, Elijah	Indiana		28-16	Yes
2.	Piccininni, Nicholas	Oklahoma State		30-0	Yes
11.	Piotrowski, Travis	Illinois		20-10	Yes
27.	Punke, Dack	Missouri		11-10	Yes
1.	Rivera, Sebastian	Northwestern		25-1	Yes
6.	Russell, Sean	Minnesota		26-4	Yes
17.	Schroder, Devin	Purdue		19-11	Yes
21.	Schwarm, Jay	Northern Iowa		14-10	Yes
20.	Townsell, Gabe	Stanford		18-10	Yes
22.	Verner, Cole	Wyoming		22-13	Yes
30.	West, Bryce	Northern Illinois		15-14	Yes
