Seed	Name	Team	Grade	Record	Scoring
4.	Alber, Josh	Northern Iowa		31-5	Yes
15.	Brock, Kaid	Oklahoma State		19-7	Yes
6.	Carr, Michael	Illinois		12-5	Yes
28.	Debien, Chris	Chattanooga		24-11	Yes
9.	Demas, Dom	Oklahoma		29-7	Yes
1.	Diakomihalis, Yianni	Cornell		24-0	Yes
5.	Eierman, Jaydin	Missouri		23-3	Yes
20.	Findlay, Matt	Utah Valley		14-2	Yes
25.	Finesilver, Josh	Duke		22-11	Yes
10.	Gil, Nicholas	Navy		29-6	Yes
21.	Headlee, Austin	North Carolina		19-10	Yes
12.	Kelly, Cameron	Ohio		19-3	Yes
26.	Krivus, Sam	Virginia		16-10	Yes
18.	Lantry, Bryan	Buffalo		12-2	Yes
3.	Lee, Nick	Penn State		27-2	Yes
30.	Limmex, Nate	Purdue		18-15	Yes
33.	Lipari, Pete	Rutgers		12-12	Yes
7.	McKee, Mitch	Minnesota		20-5	Yes
2.	McKenna, Joey	Ohio State		20-2	Yes
24.	Moore, Mitch	Virginia Tech		17-7	Yes
11.	Moran, Tristan	Wisconsin		23-9	Yes
14.	Morris, Jamel	NC State		22-3	Yes
22.	Murin, Max	Iowa		15-8	Yes
17.	Parker, Ian	Iowa State		23-7	Yes
19.	Perry, Sa`Derian	Old Dominion		23-8	Yes
16.	Red, Chad	Nebraska		18-11	Yes
32.	Sandoval, Christopher	Northern Colorado		8-10	Yes
29.	Shie, Corey	Army West Point		27-14	Yes
13.	Shoop, Kyle	Lock Haven		31-6	Yes
27.	Sparacio, Anthony	Binghamton		28-10	Yes
8.	Storr, Kanen	Michigan		24-6	Yes
23.	Turner, Sam	Wyoming		30-12	Yes
31.	Willits, Grant	Oregon State		17-8	Yes
