Seed	Name	Team	Grade	Record	Scoring
10.	Ashworth, Branson	Wyoming		33-5	Yes
28.	Brolsma, Carson	Minnesota		19-10	Yes
16.	Bullard, Thomas	NC State		20-8	Yes
21.	Campbell, Te`shan	Ohio State		20-7	Yes
25.	Coy, Cam	Virginia		19-14	Yes
14.	Dellavecchia, Jesse	Rider		24-5	Yes
31.	Delong, Evan	Clarion		16-13	Yes
30.	DiBlasi, Colston	George Mason		29-12	Yes
23.	Finesilver, Zach	Duke		19-8	Yes
15.	Flynn, Connor	Missouri		20-7	Yes
13.	Fogarty, Andrew	North Dakota State		20-4	Yes
26.	Gunther, Joseph	Illinois		18-13	Yes
12.	Jarrell, Ebed	Drexel		22-4	Yes
2.	Joseph, Vincenzo	Penn State		23-1	Yes
27.	Keller, Troy	Buffalo		18-6	Yes
29.	Kiussis, Nick	West Virginia		18-10	Yes
8.	Lewis, Mekhi	Virginia Tech		23-2	Yes
1.	Marinelli, Alex	Iowa		23-0	Yes
20.	Marinelli, Tyler	Gardner-Webb		26-2	Yes
5.	Marsteller, Chance	Lock Haven		22-2	Yes
22.	Martin, Bryce	Indiana		21-9	Yes
6.	Massa, Logan	Michigan		20-5	Yes
24.	McCormick, Cael	Army West Point		18-8	Yes
32.	Morland, Tyler	Northwestern		6-9	Yes
9.	Romero, Demetrius	Utah Valley		25-3	Yes
3.	Shields, Joshua	Arizona State		27-3	Yes
19.	Skidgel, Tanner	Navy		20-8	Yes
33.	Smith, Joseph	Oklahoma State		18-6	Yes
11.	Steiert, Bryce	Northern Iowa		23-7	Yes
17.	Viruet, Jonathan	Brown		31-8	Yes
7.	White, Isaiah	Nebraska		20-7	Yes
4.	Wick, Evan	Wisconsin		28-4	Yes
18.	Wolf, Gordon	Lehigh		19-6	Yes
