Seed	Name	Team	Grade	Record	Scoring
33.	Amine, Malik	Michigan		11-9	Yes
27.	Anthony, Tejon	George Mason		30-9	Yes
13.	Artalona, Anthony	Pennsylvania		26-5	Yes
1.	Ashnault, Anthony	Rutgers		27-0	Yes
12.	Berge, Brady	Penn State		18-3	Yes
26.	Blees, Ryan	Virginia Tech		16-14	Yes
8.	Degen, Jarrett	Iowa State		25-6	Yes
3.	Finesilver, Mitch	Duke		28-3	Yes
7.	Gfeller, Kaden	Oklahoma State		28-4	Yes
11.	Heil, Joshua	Campbell		23-6	Yes
16.	Jeffries, Davion	Oklahoma		23-10	Yes
2.	Jordan, Micah	Ohio State		25-2	Yes
5.	Kolodzik, Matthew	Princeton		21-3	Yes
30.	Kropman, Parker	Drexel		10-8	Yes
10.	Lugo, Pat	Iowa		20-7	Yes
19.	Martin, Cole	Wisconsin		19-11	Yes
23.	Maruca, Joshua	Arizona State		16-12	Yes
4.	Mauller, Brock	Missouri		29-2	Yes
17.	Monserrat, Christian	West Virginia		23-7	Yes
21.	Olivas, Khristian	Fresno State		21-11	Yes
9.	Oliver, Justin	NC State		18-5	Yes
31.	Oster, Shayne	Northwestern		12-12	Yes
6.	O`Connor, Austin	North Carolina		29-5	Yes
22.	Pohlmeyer, Henry	South Dakota State		21-13	Yes
18.	Prince, Jared	Navy		19-9	Yes
25.	Rohlfing, Russell	CSU Bakersfield		16-11	Yes
24.	Schuyler, Cortlandt	Lehigh		14-9	Yes
32.	Smith, Tanner	Chattanooga		11-7	Yes
28.	Sprague, Michael	American		23-9	Yes
15.	Thomsen, Max	Northern Iowa		21-8	Yes
20.	Thorn, Thomas	Minnesota		18-10	Yes
14.	van der Merwe, Requir	Stanford		23-6	Yes
29.	Zovistoski, Matthew	Appalachian State		26-13	Yes
