Seed	Name	Team	Grade	Record	Scoring
20.	Adams, Noah	West Virginia		18-13	Yes
7.	Aiello, Jay	Virginia		23-6	Yes
4.	Brucki, Patrick	Princeton		29-1	Yes
11.	Brunner, Christian	Purdue		23-9	Yes
25.	Bulsak, Greg	Clarion		17-6	Yes
12.	Caywood, Rocco	Army West Point		25-6	Yes
15.	Diabe, Randall	Appalachian State		26-5	Yes
16.	Hokit, Josh	Fresno State		21-6	Yes
9.	Honis, Benjamin	Cornell		19-4	Yes
24.	Jakobsen, Jake	Lehigh		10-7	Yes
33.	Jones, Rod	Chattanooga		20-18	Yes
32.	Laird, Ethan	Rider		19-11	Yes
21.	Lane, Thomas	Cal Poly		20-11	Yes
17.	Loiseau, Stephen	Drexel		22-8	Yes
13.	McDonald, Malik	NC State		18-9	Yes
26.	McLaughlin, Anthony	Air Force		13-7	Yes
6.	Miklus, William	Iowa State		22-3	Yes
2.	Moore, Kollin	Ohio State		19-2	Yes
1.	Nickal, Bo	Penn State		25-0	Yes
19.	Orndorff, Tanner	Utah Valley		18-12	Yes
31.	Perry, Brett	Buffalo		19-9	Yes
28.	Phipps, Drew	Bucknell		24-10	Yes
27.	Roetman, Joshua	Navy		25-10	Yes
22.	Root, Sawyer	The Citadel		31-14	Yes
14.	Schultz, Eric	Nebraska		21-11	Yes
30.	Seely, Jacob	Northern Colorado		13-10	Yes
10.	Sleigh, Tom	Virginia Tech		21-6	Yes
23.	Stout, Kellan	Pittsburgh		12-8	Yes
8.	Traxler, Nathan	Stanford		28-5	Yes
5.	Warner, Jacob	Iowa		17-4	Yes
3.	Weigel, Preston	Oklahoma State		11-0	Yes
29.	Whitman, Brandon	North Carolina		17-13	Yes
18.	Woodley, Jake	Oklahoma		21-8	Yes
