Seed	Name	Team	Grade	Record	Scoring
10.	Bravo-Young, Roman	Penn State		21-4	Yes
12.	Bridges, Montorie	Wyoming		29-8	Yes
27.	Cefolo, Anthony	Rider		19-6	Yes
7.	DeSanto, Austin	Iowa		18-4	Yes
30.	Duncan, Dylan	Illinois		13-12	Yes
8.	Erneste, John	Missouri		18-4	Yes
24.	Fehlman, DJ	Lock Haven		34-6	Yes
1.	Fix, Daton	Oklahoma State		30-1	Yes
13.	Gomez, Austin	Iowa State		21-5	Yes
22.	Gonser, Noah	Campbell		20-8	Yes
23.	Guillen, Mario	Ohio		17-3	Yes
18.	Harding, Gary Wayne	North Carolina		27-11	Yes
29.	Joint, Gary	Fresno State		17-13	Yes
6.	Lizak, Ethan	Minnesota		28-5	Yes
2.	Micic, Stevan	Michigan		14-0	Yes
14.	Myers, Korbin	Virginia Tech		18-8	Yes
17.	Nickell, Sean	CSU Bakersfield		25-8	Yes
20.	Paetzell, Brandon	Lehigh		15-11	Yes
31.	Pengilly, Mason	Stanford		12-5	Yes
4.	Phillippi, Micky	Pittsburgh		19-2	Yes
5.	Pletcher, Luke	Ohio State		23-5	Yes
28.	Rooney, Tim	Kent State		24-13	Yes
26.	Russell, Codi	Appalachian State		20-10	Yes
16.	Schmitt, Matthew	West Virginia		17-6	Yes
25.	Spann, Derek	Buffalo		21-4	Yes
3.	Suriano, Nick	Rutgers		24-3	Yes
21.	Sykora, Cam	North Dakota State		20-8	Yes
19.	Terao, Josh	American		24-5	Yes
15.	Thornton, Ben	Purdue		21-9	Yes
33.	Trampe, Zack	Binghamton		15-4	Yes
9.	Tucker, Charles	Cornell		27-4	Yes
32.	Turner, Devan	Oregon State		20-9	Yes
11.	Wilson, Tariq	NC State		14-3	Yes
