Seed	Name	Team	Grade	Record	Scoring
19.	Barnett, Eric	Wisconsin		7-5	Yes
6.	Camacho, Jakob	NC State		8-2	Yes
17.	Cardinale, Killian	West Virginia		12-4	Yes
3.	Courtney, Brandon	Arizona State		11-0	Yes
13.	Cronin, Liam	Nebraska		9-3	Yes
27.	Curry, Gage	American		4-1	Yes
12.	DeAugustino, Michael	Northwestern		6-3	Yes
26.	DiSario, Jackson	Stanford		7-3	Yes
20.	Ferri, Jake	Kent State		13-2	Yes
8.	Foley, RayVon	Michigan State		8-4	Yes
24.	Gutierrez, Fabian	Chattanooga		14-3	Yes
10.	Heinselman, Malik	Ohio State		10-3	Yes
4.	Hildebrandt, Drew	Central Michigan		10-0	Yes
23.	Howard, Robert	Penn State		5-4	Yes
28.	Kaylor, Brandon	Oregon State		9-5	Yes
7.	LaMont, Taylor	Utah Valley		9-1	Yes
14.	Lane, Jaret	Lehigh		8-0	Yes
2.	Latona, Sam	Virginia Tech		10-0	Yes
1.	Lee, Spencer	Iowa		7-0	Yes
21.	Mastrogiovanni, Trevor	Oklahoma State		13-4	Yes
32.	McCormick, Patrick	Virginia		8-5	Yes
15.	McKee, Patrick	Minnesota		8-6	Yes
11.	Ragusin, Dylan	Michigan		7-3	Yes
30.	Roes, Micah	Binghamton		6-2	Yes
16.	Russell, Codi	Appalachian State		15-1	Yes
9.	Schroder, Devin	Purdue		9-4	Yes
29.	Storm, Zurich	Campbell		8-5	Yes
18.	Surtin, Noah	Missouri		8-4	Yes
33.	Terukina, Kysen	Iowa State		8-5	Yes
5.	Teske, Brody	Northern Iowa		12-1	Yes
25.	Treaster, Logan	Navy		11-2	Yes
31.	Tropea, Jonathan	Rider		6-4	Yes
22.	Vega, Daniel	South Dakota State		14-6	Yes
