Seed	Name	Team	Grade	Record	Scoring
24.	Allar, Jake	Minnesota		7-6	Yes
8.	Bullard, Daniel	NC State		8-1	Yes
28.	Fitzpatrick, Timothy	American		5-1	Yes
15.	Flitz, Thomas	Appalachian State		16-3	Yes
14.	Hastings, Hayden	Wyoming		15-2	Yes
13.	Hemauer, Jackson	Northern Colorado		9-2	Yes
27.	Howard, Cody	Virginia Tech		5-5	Yes
32.	Hughes, Drew	Michigan State		3-7	Yes
22.	Kauffman, Mason	Northern Illinois		13-4	Yes
1.	Kemerer, Michael	Iowa		7-0	Yes
4.	Labriola, Mikey	Nebraska		11-1	Yes
16.	Lautt, Clay	North Carolina		5-3	Yes
31.	Logan, Jake	Lehigh		4-5	Yes
23.	Mantanona, Anthony	Oklahoma		7-7	Yes
30.	Marcelli, Victor	Virginia		8-5	Yes
5.	Massa, Logan	Michigan		8-3	Yes
6.	McNally, Andrew	Kent State		10-1	Yes
10.	Mocco, Peyton	Missouri		11-1	Yes
20.	Munoz, Trenton	Arizona State		5-2	Yes
11.	Murphy, Austin	Campbell		12-0	Yes
33.	Nolan, Jacob	Binghamton		6-2	Yes
21.	Oliver, Jacob	Edinboro		11-4	Yes
19.	O`Malley, Michael	Drexel		7-1	Yes
17.	Pasiuk, Benjamin	Army West Point		5-0	Yes
18.	Plott, Dustin	Oklahoma State		14-4	Yes
2.	Romero, Demetrius	Utah Valley		16-0	Yes
7.	Romero, Kaleb	Ohio State		9-4	Yes
29.	Runyon, Lance	Northern Iowa		7-5	Yes
3.	Starocci, Carter	Penn State		8-2	Yes
25.	Surratt, Cody	Air Force		6-5	Yes
12.	Truax, Bernie	Cal Poly		9-1	Yes
26.	Turley, Jackson	Rutgers		6-3	Yes
9.	Washington, Donnell	Indiana		9-5	Yes
