Seed	Name	Team	Grade	Record	Scoring
27.	Allen, Jacob	Navy		8-5	Yes
29.	Bianchi, Paul	Little Rock		10-4	Yes
2.	Bravo-Young, Roman	Penn State		9-0	Yes
18.	Burwick, Kyle	Wisconsin		6-6	Yes
7.	Byrd, Lucas	Illinois		11-2	Yes
8.	Cannon, Chris	Northwestern		8-2	Yes
31.	Carter, Sean	Appalachian State		14-6	Yes
4.	DeSanto, Austin	Iowa		7-1	Yes
23.	Dryden, Boo	Minnesota		7-7	Yes
1.	Fix, Daton	Oklahoma State		9-0	Yes
22.	Guillen, Mario	Ohio		8-3	Yes
30.	Hamdan, Jordan	Michigan State		6-6	Yes
10.	Hayes, Louie	Virginia		10-4	Yes
17.	Hines, Malyke	Lehigh		6-1	Yes
24.	Koehler, Richie	Rider		9-2	Yes
11.	Madrigal, Anthony	Oklahoma		6-8	Yes
9.	McGee, Michael	Arizona State		8-1	Yes
26.	Miller, Darren	Bucknell		9-2	Yes
3.	Myers, Korbin	Virginia Tech		8-0	Yes
5.	Phillippi, Micky	Pittsburgh		8-1	Yes
14.	Price, Zach	South Dakota State		14-4	Yes
13.	Redding, Zach	Iowa State		10-5	Yes
32.	Rhone, Cole	Bloomsburg		5-2	Yes
19.	Rich, Chance	Csu Bakersfield		5-2	Yes
25.	Rundell, Jacob	Purdue		6-7	Yes
6.	Schmitt, Matt	Missouri		10-1	Yes
15.	Schwartz, Mosha	Northern Colorado		6-4	Yes
28.	Smith, Ty	Utah Valley		8-5	Yes
20.	Sullivan, Ryan	West Virginia		7-3	Yes
12.	Trombley, Jarrett	NC State		7-4	Yes
16.	Turner, Devan	Oregon State		6-4	Yes
21.	Van Vleet, Jared	Air Force		5-5	Yes
33.	West, Bryce	Northern Illinois		10-5	Yes
