Seed	Name	Team	Grade	Record	Scoring
22.	Barton, Benjamin	Campbell		10-2	Yes
12.	Berge, Brady	Penn State		8-2	Yes
20.	Bond, Cody	Appalachian State		15-4	Yes
27.	Brady, Connor	Virginia Tech		7-5	Yes
3.	Carr, David	Iowa State		15-0	Yes
21.	Cerniglia, Andrew	Navy		8-1	Yes
9.	Coleman, Kendall	Purdue		11-3	Yes
1.	Deakin, Ryan	Northwestern		6-0	Yes
4.	Dellavecchia, Jesse	Rider		7-0	Yes
18.	DeVos, Cade	South Dakota State		13-9	Yes
8.	Franek, Jared	North Dakota State		11-3	Yes
32.	Frinzi, Luca	Lehigh		4-3	Yes
30.	Hartman, Markus	Army West Point		5-2	Yes
19.	Heller, Holden	Hofstra		8-0	Yes
2.	Hidlay, Hayden	NC State		9-0	Yes
7.	Jacques, Jarrett	Missouri		10-2	Yes
25.	Kropman, Parker	Drexel		6-2	Yes
6.	Lee, Brayton	Minnesota		10-3	Yes
14.	Lewan, Will	Michigan		7-2	Yes
28.	Licking, Caleb	Nebraska		5-6	Yes
26.	Lovett, Johnny	Central Michigan		8-3	Yes
29.	McClure, Joshua	North Carolina		5-5	Yes
16.	McCoy, Justin	Virginia		9-2	Yes
24.	Palumbo, Nicholas	Sacred Heart		5-3	Yes
31.	Petite, Michael	Buffalo		8-6	Yes
15.	Saldate, Chase	Michigan State		8-5	Yes
33.	Sheets, Wyatt	Oklahoma State	18	6-6	Yes
11.	Teemer, Jacori	Arizona State		7-1	Yes
10.	Thomas, Justin	Oklahoma		11-3	Yes
17.	van der Merwe, Requir	Stanford		7-3	Yes
13.	Willits, Hunter	Oregon State		9-3	Yes
23.	Wright, Jacob	Wyoming		16-4	Yes
5.	Young, Kaleb	Iowa		5-1	Yes
