Seed	Name	Team	Grade	Record	Scoring
9.	Adams, Noah	West Virginia		13-3	Yes
11.	Aiello, Jay	Virginia		9-2	Yes
1.	Amine, Myles	Michigan		6-0	Yes
32.	Andrew, Logan	Chattanooga		10-6	Yes
15.	Beard, Michael	Penn State		6-4	Yes
6.	Bonaccorsi, Nino	Pittsburgh		9-1	Yes
17.	Brown, JT	Army West Point		7-2	Yes
8.	Buchanan, Stephen	Wyoming		11-3	Yes
14.	Bulsak, Greg	Clarion		11-1	Yes
10.	Caffey, Cameron	Michigan State		8-4	Yes
21.	Coleman, Marcus	Iowa State		7-4	Yes
12.	Davison, Lucas	Northwestern		7-3	Yes
25.	Dixon, J.J.	Oregon State		7-4	Yes
7.	Elam, Rocky	Missouri		11-0	Yes
4.	Ferrari, AJ	Oklahoma State		15-1	Yes
16.	Jakobsen, Jake	Lehigh		7-3	Yes
33.	Janzer, Billy	Rutgers		3-5	Yes
22.	Kober, Chris	Campbell		6-0	Yes
18.	Koser, Jacob	Navy		7-3	Yes
29.	McCracken, Colin	Kent State		8-5	Yes
23.	McLaughlin, Bryan	Drexel		6-2	Yes
3.	Norfleet, Kordell	Arizona State		9-0	Yes
19.	Penola, Thomas	Purdue		10-4	Yes
31.	Pentz, Owen	North Dakota State		7-4	Yes
28.	Reenan, Nick	NC State		7-3	Yes
30.	Rogers, Trey	Hofstra		6-3	Yes
2.	Schultz, Eric	Nebraska		10-1	Yes
20.	Shaw, Max	North Carolina		8-4	Yes
13.	Sloan, Tanner	South Dakota State		14-2	Yes
24.	Smith, Benjamin	Cleveland State		5-4	Yes
27.	Stemmet, Nick	Stanford		7-2	Yes
5.	Warner, Jacob	Iowa		8-2	Yes
26.	Woodley, Jake	Oklahoma		9-7	Yes
