Seed	Name	Team	Grade	Record	Scoring
17.	Bell, McKenzie	Rider		7-3	Yes
22.	Brito, Anthony	Appalachian State		17-3	Yes
15.	Carlson, Clay	South Dakota State		16-6	Yes
20.	Courtney, Brian	Virginia		9-4	Yes
5.	Demas, Dom	Oklahoma		12-1	Yes
14.	Duncan, Dylan	Illinois		7-4	Yes
30.	D`Emilio, Dylan	Ohio State		7-6	Yes
1.	Eierman, Jaydin	Iowa		8-0	Yes
23.	Ervin, Saul	SIU Edwardsville		10-5	Yes
18.	Filius, Parker	Purdue		7-7	Yes
31.	Flores, Julian	Drexel		6-3	Yes
6.	Hart, Allan	Missouri		13-1	Yes
2.	Lee, Nick	Penn State		8-1	Yes
13.	Lloren, DJ	Fresno State		11-1	Yes
27.	Martinoni, Angelo	Csu Bakersfield		4-1	Yes
16.	Matthews, Cole	Pittsburgh		6-5	Yes
25.	Mattin, Drew	Michigan		4-6	Yes
24.	McGonagle, Connor	Lehigh		4-4	Yes
7.	Parker, Ian	Iowa State		13-2	Yes
19.	Peters, Lane	Army West Point		6-2	Yes
28.	Polanco, Marcos	Minnesota		6-7	Yes
8.	Red, Chad	Nebraska		11-3	Yes
3.	Rivera, Sebastian	Rutgers		8-1	Yes
32.	Rooks, Cayden	Indiana		5-9	Yes
10.	Sherman, Zachary	North Carolina		8-2	Yes
9.	Simon, Dresden	Central Michigan		9-1	Yes
11.	Trybus, Cody	Navy		12-0	Yes
26.	Valdiviez, Colin	Northwestern		4-8	Yes
33.	Vespa, Vinny	Hofstra		4-5	Yes
12.	Willits, Grant	Oregon State		9-2	Yes
4.	Wilson, Tariq	NC State		9-0	Yes
21.	Woods, Real	Stanford		4-1	Yes
29.	Zollmann, Chase	Wyoming		12-6	Yes
