Seed	Name	Team	Grade	Record	Scoring
33.	Accousti, Joe	Sacred Heart		4-4	Yes
28.	Ammerman, Dylan	Lehigh		3-2	Yes
32.	Anderson, Jhaquan	Gardner-Webb		9-2	Yes
5.	Bolen, Hunter	Virginia Tech		9-1	Yes
12.	Brands, Nelson	Iowa		7-4	Yes
19.	Braunagel, Zach	Illinois		6-6	Yes
1.	Brooks, Aaron	Penn State		9-0	Yes
27.	Brown, Taylor	Army West Point		6-4	Yes
18.	Clothier, Alan	Northern Colorado		9-3	Yes
29.	Colbray, Samuel	Iowa State		6-3	Yes
3.	Deprez, Lou	Binghamton		7-0	Yes
21.	Ducharme, Dominic	Csu Bakersfield		5-0	Yes
11.	Geer, Dakota	Oklahoma State		15-3	Yes
30.	Harvey, Gregg	Pittsburgh		6-6	Yes
2.	Hidlay, Trent	NC State		6-1	Yes
14.	Hopkins, Caleb	Campbell		11-1	Yes
24.	Jordan, Rocky	Ohio State		5-8	Yes
22.	Kane, Devin	North Carolina		8-3	Yes
4.	Keckeisen, Parker	Northern Iowa		15-0	Yes
9.	Kent, Jeremiah	Missouri		9-1	Yes
20.	Key, David	Navy		10-1	Yes
16.	Lyon, Max	Purdue		7-6	Yes
15.	Malczewski, Layne	Michigan State		9-3	Yes
26.	Nassar, DeAndre	Cleveland State		9-3	Yes
6.	Poznanski, John	Rutgers		7-2	Yes
31.	Reyes, Ryan	Oregon State		6-4	Yes
10.	Samuelson, Tate	Wyoming		13-3	Yes
23.	Small, Charles	Hofstra		7-2	Yes
8.	Venz, Taylor	Nebraska		7-3	Yes
25.	Waddell, Matthew	Chattanooga		11-5	Yes
17.	Webster, Owen	Minnesota		7-5	Yes
13.	Weiler, Christopher	Wisconsin		6-4	Yes
7.	Wilson, Brit	Northern Illinois		13-1	Yes
