Seed	Name	Team	Grade	Record	Scoring
13.	Andrews, Brian	Wyoming		6-4	Yes
24.	Birchmeier, Johnathan	Navy		7-2	Yes
5.	Cassioppi, Tony	Iowa		8-2	Yes
18.	Catka, Hunter	Virginia Tech		9-2	Yes
30.	Doyle, Joe	Binghamton		2-2	Yes
11.	Elam, Zach	Missouri		10-4	Yes
32.	Ghadiali, Taye	Campbell		7-5	Yes
6.	Gremmel, Gannon	Iowa State		15-1	Yes
31.	Gunning, Andrew	North Carolina		4-4	Yes
29.	Harris, Austin	Oklahoma State		9-6	Yes
19.	Heindselman, Josh	Oklahoma		9-5	Yes
17.	Hendrickson, Wyatt	Air Force		13-3	Yes
14.	Hillger, Trent	Wisconsin		6-4	Yes
15.	Isley, Carter	Northern Iowa		9-5	Yes
9.	Kerkvliet, Greg	Penn State		6-2	Yes
27.	Knighton-Ward, Zachary	Hofstra		7-3	Yes
7.	Laird, Ethan	Rider		8-1	Yes
12.	Lance, Christian	Nebraska		9-5	Yes
16.	Luffman, Luke	Illinois		8-5	Yes
23.	McAleavey, Michael	The Citadel		15-1	Yes
22.	Metz, Brandon	North Dakota State		9-6	Yes
20.	Miller, Quinn	Virginia		9-2	Yes
21.	Orndorff, Tate	Ohio State		7-8	Yes
2.	Parris, Mason	Michigan		8-1	Yes
4.	Schultz, Cohlton	Arizona State		12-0	Yes
26.	Schuyler, Sam	Buffalo		8-2	Yes
28.	Spaulding, Jon	Edinboro		11-4	Yes
3.	Stencel, Matt	Central Michigan		10-0	Yes
1.	Steveson, Gable	Minnesota		12-0	Yes
25.	Traxler, Nathan	Stanford		6-2	Yes
10.	Wilson, Deonte	NC State		9-0	Yes
8.	Wood, Jordan	Lehigh		7-1	Yes
