weight,round,result_type,winner_name,winner_team,winner_conf,winner_seed,winner_tpar_v1,winner_tpar_v3b,loser_name,loser_team,loser_conf,loser_seed,loser_tpar_v1,loser_tpar_v3b
174,C_R2,Fall,Simon Ruiz,Cornell,CAA,2,4.5424,4.5894,Jared Simma,Northern Iowa,Big 12,17,1.5541,1.6682
174,C_R2,Dec,Sergio Desiante,Virginia Tech,ACC,25,1.1647,1.2422,Myles Takats,Bucknell,EIWA,10,2.9771,3.0111
174,C_R2,MD,Matty Singleton,NC State,ACC,6,3.0647,3.1916,Lenny Pinto,Rutgers,Big Ten,21,1.7048,1.7748
174,C_R2,SV-1,Carter Baer,Binghamton,EIWA,13,2.1900,2.1113,Logan Messer,George Mason,MAC,19,2.0988,1.9976
174,C_R2,Dec,Moses Espinoza-Owens,South Dakota State,Big 12,14,1.7067,1.8124,Daschle Lamer,Oregon State,Pac-12,20,2.9871,3.0100
174,C_R2,SV-1,Carter Schubert,Oklahoma,Big 12,12,2.1778,2.3196,Brody Baumann,Purdue,Big Ten,22,1.3836,1.5020
174,C_R2,Dec,Alex Facundo,Oklahoma State,Big 12,8,2.9986,3.1509,Luca Augustine,Pittsburgh,ACC,23,1.6532,1.8016
174,C_R2,Dec,Colin Kelly,Illinois,Big Ten,18,2.0788,2.3269,Nick Fine,Columbia,CAA,16,2.7273,2.7505
174,QF,TF,Levi Haines,Penn State,Big Ten,1,5.2112,5.3684,Beau Mantanona,Michigan,Big Ten,9,3.7015,3.9341
174,QF,TB-1,Patrick Kennedy,Iowa,Big Ten,5,3.5718,3.7923,Carson Kharchla,Ohio State,Big Ten,4,3.6021,3.7746
174,QF,MD,Christopher Minto,Nebraska,Big Ten,3,3.6976,3.8868,MJ Gaitan,Iowa State,Big 12,11,2.8052,2.9129
174,QF,SV-1,Cam Steed,Missouri,Big 12,7,2.7762,2.9233,Danny Wask,Navy,EIWA,15,3.4726,3.5278
174,C_R1,SV-1,Jared Simma,Northern Iowa,Big 12,17,1.5541,1.6682,Grant O`Dell,Bellarmine,SoCon,33,0.9526,0.8629
