Seed	Name	Team	Grade	Record	Scoring
19.	Abro, Anthony	Eastern Mich.		20-8	Yes
23.	Barnes, Bryce	Army		21-9	Yes
28.	Bonaccorsi, Nick	Pittsburgh		15-13	Yes
12.	Boykin, Michael	NC State		17-9	Yes
18.	Boykin, Scottie	Chattanooga		23-6	Yes
4.	Burak, Nathan	Iowa		23-2	Yes
16.	Conel, Kyle	Kent St.		26-6	Yes
2.	Cox, J`Den	Missouri		28-1	Yes
26.	Dasilveira, Joshua	Arizona St.		21-9	Yes
22.	Downey, Patrick	Iowa St.		6-2	Yes
9.	Franklin, Reuben	Bakersfield		31-6	Yes
7.	Harner, Brett	Princeton		33-3	Yes
5.	Hartmann, Conner	Duke		26-1	Yes
6.	Haught, Jared	Virginia Tech		17-7	Yes
31.	Hrymack, Hayden	Rutgers		17-14	Yes
10.	Huntley, Maxwell	Michigan		21-5	Yes
1.	McIntosh, Morgan	Penn State		28-0	Yes
21.	Ness, Chip	North Carolina		18-12	Yes
29.	Noon, Trent	Northern Colo.		24-8	Yes
14.	Nye, Zachary	Virginia		24-10	Yes
3.	Pfarr, Brett	Minnesota		35-3	Yes
15.	Rotert, Nate	South Dakota St.		26-9	Yes
24.	Scott, Shawn	Northern Ill.		23-9	Yes
20.	Scott, Owen	Cornell		15-7	Yes
13.	Smith, Jacob A.	West Virginia		30-10	Yes
25.	Sprenkle, Phil	Lock Haven		18-7	Yes
8.	Studebaker, Aaron	Nebraska		21-9	Yes
30.	Weigel, Preston	Oklahoma St.		16-10	Yes
11.	Wellington, Phil	Ohio		25-6	Yes
27.	Wheeler, Sam	Cleveland St.		28-8	Yes
32.	Wolfe, Ryan	Rider		27-8	Yes
17.	Woulfe, Michael	Navy		32-12	Yes
