Seed	Name	Team	Grade	Record	Scoring
15.	Alber, Josh	Northern Iowa		26-10	Yes
14.	Alexander, Geoffrey	Maryland		13-5	Yes
32.	Beckman, Mason	Lehigh		16-10	Yes
27.	Brady, Dalton	Arizona St.		16-2	Yes
4.	Brewer, Cody	Oklahoma		21-2	Yes
24.	Bruno, Rosario	Michigan		14-11	Yes
2.	Clark, Cory	Iowa		22-1	Yes
5.	Conaway, Jordan	Penn State		26-5	Yes
26.	Davis, Zachary	Navy		28-14	Yes
23.	Deutsch, Robert	Rider		20-5	Yes
6.	DiCamillo, George	Virginia		27-3	Yes
10.	DiJulius, Johnni	Ohio St.		17-7	Yes
19.	Eicher, Austin	Northern Ill.		19-11	Yes
11.	Forys, Dom	Pittsburgh		25-3	Yes
1.	Garrett, Nahshon	Cornell		32-0	Yes
16.	Giraldo, Anthony	Rutgers		17-14	Yes
8.	Hall, Earl	Iowa St.		29-7	Yes
18.	Harding, Gary Wayne	Oklahoma St.		15-11	Yes
28.	Keener, Corey	Central Michigan		18-10	Yes
13.	Kelly, Cameron	Ohio		22-7	Yes
17.	Kraisser, Nathan	Campbell		33-7	Yes
20.	Lantry, Bryan	Buffalo		18-14	Yes
22.	Malone, Dominick	Northwestern		22-10	Yes
25.	Martinez, Josh	Air Force		23-8	Yes
9.	McGuire, Mack	Kent St.		24-5	Yes
7.	Montoya, Eric	Nebraska		24-8	Yes
29.	Morris, Jamal	NC State		14-8	Yes
30.	Palmer, Joey	Oregon St.		24-10	Yes
31.	Rauser, Jade	Utah Valley		20-6	Yes
3.	Richards, Zane	Illinois		23-1	Yes
21.	Synon, Zach	Missouri		16-12	Yes
12.	Taylor, Ryan	Wisconsin		9-5	Yes
