Seed	Name	Team	Grade	Record	Scoring
12.	Brennan, Connor	Rider		27-3	Yes
30.	Buckwalter, Tyler	Kent St.		24-11	Yes
1.	Dieringer, Alex	Oklahoma St.		28-0	Yes
21.	Faust, Jake	Duke		17-8	Yes
31.	Fierro, Adam	Bakersfield		17-9	Yes
29.	Fuller, Casey	Edinboro		26-9	Yes
15.	Glass, Clark	Oklahoma		22-8	Yes
16.	Gobbo, Devon	Harvard		25-5	Yes
2.	Jordan, Isaac	Wisconsin		25-0	Yes
3.	Jordan, Bo	Ohio St.		16-2	Yes
24.	Juarez, Dakota	Eastern Mich.		14-10	Yes
4.	Lewis, Daniel	Missouri		25-4	Yes
14.	McFadden, David	Virginia Tech		21-9	Yes
22.	Morelli, Geno	Penn State		19-10	Yes
7.	Perrotti, Anthony	Rutgers		21-3	Yes
27.	Pickett, George	Cornell		26-9	Yes
18.	Preisch, Ryan	Lehigh		16-8	Yes
26.	Przybysz, Forrest	Appalachian St.		21-11	Yes
28.	Reese, Austin	Ohio		21-12	Yes
20.	Rhoads, Patrick	Iowa		13-11	Yes
6.	Rodrigues, Steven	Illinois		25-3	Yes
5.	Rohskopf, Max	NC State		15-2	Yes
11.	Staudenmayer, John	North Carolina		21-10	Yes
25.	Thomas, Seth	Oregon St.		21-9	Yes
32.	Trott, Austin	Gardner-Webb		17-5	Yes
9.	Weatherman, Tanner	Iowa St.		28-8	Yes
8.	Welch, Chad	Purdue		30-7	Yes
17.	White, Tyrel	Columbia		26-10	Yes
23.	Wiercioch, Cody	Pittsburgh		17-11	Yes
19.	Wightman, Mitchell	American		22-15	Yes
13.	Wilson, Jim	Stanford		24-6	Yes
10.	Wilson, Austin	Nebraska		23-9	Yes
