Seed	Name	Team	Grade	Record	Scoring
27.	Bakuckas, Phil	Rutgers		18-13	Yes
16.	Barnes, Micah	Nebraska		20-10	Yes
24.	Barrick, Rustin	Bucknell		27-10	Yes
29.	Bernstein, Jadaen	Navy		32-11	Yes
5.	Brunson, Zach	Illinois		20-3	Yes
3.	Butler, Blaise	Missouri		20-3	Yes
23.	Campbell, Te`Shan	Pittsburgh		18-10	Yes
8.	Epperly, Zach	Virginia Tech		10-2	Yes
6.	Hammond, Bryce	Bakersfield		19-3	Yes
15.	Harvey, Brian	Army		23-9	Yes
12.	Jackson, Nathan	Indiana		31-7	Yes
32.	Johnson, Josef	Harvard		18-14	Yes
14.	Kee, Nick	Appalachian St.		28-7	Yes
25.	Kent, Casey	Pennsylvania		26-7	Yes
26.	Kocer, David	South Dakota St.		28-11	Yes
18.	Mappes, Sean	Chattanooga		18-10	Yes
11.	Martin, Myles	Ohio St.		28-6	Yes
17.	McKeever, Jack	Binghamton		27-10	Yes
13.	Meyer, Alex	Iowa		23-4	Yes
1.	Nickal, Bo	Penn State		29-1	Yes
10.	Ottinger, Michael	Central Michigan		29-6	Yes
21.	Pavasko, Michael	Clarion		21-13	Yes
4.	Ramos, Ethan	North Carolina		22-3	Yes
2.	Realbuto, Brian	Cornell		33-3	Yes
30.	Reed, Matt	Oklahoma		19-9	Yes
9.	Rogers, Chandler	Oklahoma St.		27-7	Yes
19.	Schleifer, Jonathan	Princeton		21-9	Yes
28.	Subjeck, Keaton	Stanford		20-7	Yes
7.	Walters, Cody	Ohio		26-4	Yes
22.	Wanzek, Nicholas	Minnesota		20-11	Yes
31.	Weatherspoon, Lelund	Iowa St.		24-10	Yes
20.	Wolf, Gordon	Lehigh		13-10	Yes
