Seed	Name	Team	Grade	Record	Scoring
24.	Abidin, Anthony	Nebraska		18-13	Yes
4.	Ashnault, Anthony	Rutgers		29-3	Yes
13.	Bleise, Steve	Northern Ill.		26-8	Yes
7.	Chishko, Solomon	Virginia Tech		26-4	Yes
16.	Cruz, Randy	Lehigh		24-7	Yes
9.	Durso, Rick	Frank. & Marsh.		37-8	Yes
23.	Everett, Logan	Army		18-13	Yes
32.	Gasca III, Javier	Michigan St.		21-8	Yes
22.	Gil, Nicholas	Navy		25-15	Yes
20.	Gross, Seth	South Dakota St.		23-12	Yes
28.	Gulibon, Jimmy	Penn State		12-9	Yes
1.	Heil, Dean	Oklahoma St.		27-1	Yes
31.	Horan, Zachary	Central Michigan		25-11	Yes
29.	Hudson, Jamel	Hofstra		20-8	Yes
3.	Jack, Kevin	NC State		23-3	Yes
6.	Jordan, Micah	Ohio St.		25-2	Yes
17.	Laster, Jordan	Princeton		22-12	Yes
21.	Longo, Mike	Appalachian St.		19-9	Yes
5.	Manley, Matt	Missouri		27-6	Yes
19.	Mathers, Robert	Arizona St.		22-11	Yes
2.	McKenna, Joey	Stanford		22-2	Yes
12.	Mecate, Chris	Old Dominion		21-6	Yes
14.	Meredith, Bryce	Wyoming		25-4	Yes
27.	Nickell, Ian	Bakersfield		26-10	Yes
25.	Oster, Jameson	Northwestern		12-6	Yes
26.	Pongracz, Mike	Chattanooga		22-4	Yes
10.	Preston, Todd	Harvard		29-4	Yes
30.	Sabatello, Danny	Purdue		19-15	Yes
18.	Smith, Tyler	Bucknell		22-11	Yes
11.	Thorn, Tommy	Minnesota		34-9	Yes
8.	Ward, Joseph	North Carolina		19-4	Yes
15.	Zacherl, Brock	Clarion		27-1	Yes
