Seed	Name	Team	Grade	Record	Scoring
27.	Black, Brooks	Illinois		20-9	Yes
16.	Butler, Nathan	Stanford		25-7	Yes
14.	Cabell, Blaize	Northern Iowa		22-6	Yes
5.	Coon, Adam	Michigan		18-2	Yes
22.	Cornwell, Boyce	Gardner-Webb		22-9	Yes
24.	Correnti, Mauro	Rider		16-13	Yes
6.	Dejournette, Denzel	Appalachian St.		31-2	Yes
7.	Dhesi, Amarveer	Oregon St.		27-3	Yes
28.	Gillen, Patrick	Virginia		17-13	Yes
19.	Goodhart, Joseph	Drexel		24-12	Yes
1.	Gwiazdowski, Nick	NC State		29-0	Yes
30.	Hall, Tanner	Arizona St.		23-10	Yes
15.	Harms, Tanner	Wyoming		19-4	Yes
25.	Hughes, Mike	Hofstra		39-8	Yes
32.	Hutchison, Gage	Eastern Mich.		21-13	Yes
23.	Jensen, Collin	Nebraska		21-14	Yes
13.	Johnson, Jared	Chattanooga		23-5	Yes
9.	Kroells, Michael	Minnesota		30-7	Yes
21.	Larson, Ross	Oklahoma		19-11	Yes
4.	Marsden, Austin	Oklahoma St.		27-1	Yes
20.	Miller, William	Edinboro		28-9	Yes
17.	O`Donnell, Ray	Princeton		27-11	Yes
31.	Pelusi, Antonio	Frank. & Marsh.		26-19	Yes
18.	Ryan, Garrett	Columbia		22-8	Yes
29.	Shaw, Riley	Cleveland St.		28-5	Yes
12.	Smith, Billy	Rutgers		27-8	Yes
2.	Snyder, Kyle	Ohio St.		6-0	Yes
10.	Stolfi, Joe	Bucknell		20-2	Yes
11.	Stoll, Sam	Iowa		22-5	Yes
26.	Sweany, Jeramy	Cornell		22-14	Yes
3.	Walz, Ty	Virginia Tech		23-2	Yes
8.	Wessell, Max	Lehigh		24-4	Yes
