Seed	Name	Team	Grade	Record	Scoring
24.	Atkinson, Andrew	Virginia		24-9	Yes
28.	Barnes, LeRoy	Missouri		27-8	Yes
20.	Berger, Tyler	Nebraska		21-11	Yes
19.	Bethea, May	Pennsylvania		22-13	Yes
10.	Boyle, John	American		29-7	Yes
8.	Brascetta, Nick	Virginia Tech		7-3	Yes
17.	Castillo, Chris	Boise State		19-10	Yes
22.	Chino, Spartak	Ohio		23-11	Yes
13.	Cooper Jr., Edwin	Iowa		17-9	Yes
23.	Cottrell, Dylan	West Virginia		30-9	Yes
18.	Flournoy, Gregory	George Mason		30-10	Yes
2.	Gantt, Thomas	NC State		24-0	Yes
32.	Henderson, Robert	North Carolina		11-12	Yes
9.	Lewis, Richie	Rutgers		26-5	Yes
1.	Martinez, Isaiah	Illinois		27-1	Yes
14.	Matthews, Austin	Edinboro		10-4	Yes
4.	Miller, Ian	Kent St.		20-1	Yes
31.	Morse, Andrew	Northern Ill.		6-5	Yes
12.	Murphy, Brian	Michigan		9-7	Yes
3.	Nolf, Jason	Penn State		29-1	Yes
7.	Pack, Cody	South Dakota St.		27-3	Yes
5.	Palacio, Dylan	Cornell		13-1	Yes
25.	Parsons, Russell	Army		28-11	Yes
26.	Richards, Neal	VMI		21-9	Yes
27.	Ryan, Jake	Ohio St.		17-5	Yes
16.	Scheidel, Markus	Columbia		39-8	Yes
30.	Shakur, Kamaal	Chattanooga		24-6	Yes
6.	Smith, Joseph	Oklahoma St.		31-3	Yes
11.	Smith, Luke	Central Michigan		30-8	Yes
21.	Staudenmayer, Justin	Brown		29-8	Yes
29.	Walker, Aaron	Citadel		28-7	Yes
15.	Walsh, Chad	Rider		25-7	Yes
