Seed	Name	Team	Grade	Record	Scoring
4.	Abounader, Domenic	Michigan		23-2	Yes
30.	Ariola, Joe	Buffalo		13-15	Yes
3.	Avery, Victor	Edinboro		13-1	Yes
8.	Boyd, Nolan	Oklahoma St.		28-6	Yes
2.	Brooks, Sammy	Iowa		24-3	Yes
10.	Brown, Nate	Lehigh		21-4	Yes
23.	Christensen, Ryan	Wisconsin		18-18	Yes
27.	Courts, Kenny	Ohio St.		17-10	Yes
1.	Dean, Gabriel	Cornell		29-1	Yes
32.	Dechow, Jack	Old Dominion		18-3	Yes
7.	Dudley, Timothy	Nebraska		20-6	Yes
18.	Ellingwood, Jordan	Central Michigan		28-12	Yes
15.	Gravina, Nicholas	Rutgers		21-9	Yes
19.	Griego, Corey	Oregon St.		23-10	Yes
20.	Imonode, Samson	Army		15-17	Yes
29.	Koepke, Jeffrey	Illinois		20-8	Yes
26.	Krohn, Garet	Stanford		20-8	Yes
31.	Lampe, John	Chattanooga		21-5	Yes
16.	McCutcheon, Matt	Penn State		16-6	Yes
14.	Miklus, Willie	Missouri		18-5	Yes
9.	Miller, Mathew	Navy		29-7	Yes
21.	Pestano, Dane	Iowa St.		24-13	Yes
13.	Renda, Pete	NC State		21-7	Yes
28.	Romanchik, Andrew	Ohio		15-10	Yes
22.	Scheffel, Jakob `Bubba`	West Virginia		21-14	Yes
24.	Schneider, Steven	Binghamton		30-9	Yes
17.	Sleigh, Tom	Bucknell		26-8	Yes
6.	Stauffer, Blake	Arizona St.		23-2	Yes
11.	Thomas, Lorenzo	Pennsylvania		30-6	Yes
25.	Utley, Alex	North Carolina		25-8	Yes
5.	Zavatsky, Zachary	Virginia Tech		23-5	Yes
12.	Zillmer, Hayden	North Dakota St.		30-4	Yes
