Seed	Name	Team	Grade	Record	Scoring
23.	Bentley, Lorenzo	Pittsburgh		18-10	Yes
11.	Bresser, Ronnie	Oregon St.		28-7	Yes
7.	Cruz, Darian	Lehigh		28-5	Yes
2.	Dance, Joey	Virginia Tech		28-1	Yes
19.	Fausz, Sean	NC State		16-9	Yes
29.	Fleetwood, Brent	Central Michigan		19-11	Yes
20.	Fuentes, Zachary	Drexel		22-12	Yes
4.	Gilman, Thomas	Iowa		24-1	Yes
18.	Herrmann, Nick	Virginia		15-7	Yes
26.	Jimenez, Johnny	Wisconsin		18-14	Yes
6.	Klimara, Eddie	Oklahoma St.		27-5	Yes
13.	Lambert, Tim	Nebraska		23-9	Yes
24.	Laney, Shakur	Ohio		23-11	Yes
32.	Larson, Kyle	Iowa St.		23-15	Yes
22.	Macri, Dalton	Cornell		16-7	Yes
17.	McCabe, Sean	Rutgers		14-14	Yes
8.	McGhee, Barlow	Missouri		22-7	Yes
3.	Megaludis, Nico	Penn State		27-3	Yes
5.	Millhof, Ryan	Oklahoma		21-6	Yes
16.	Oliver, Elijah	Indiana		31-8	Yes
9.	Peters, Dylan	Northern Iowa		14-2	Yes
12.	Petrov, Paul	Bucknell		31-5	Yes
31.	Rodriguez, Alfredo	SIU Edwardsville		15-1	Yes
14.	Rodriguez, Joshua	North Dakota St.		34-8	Yes
28.	Romero, Drew	Air Force		16-15	Yes
21.	Russell, Sean	Edinboro		27-7	Yes
10.	Schram, Connor	Stanford		20-5	Yes
25.	Templeman, Drew	Wyoming		18-8	Yes
15.	Terao, David	American		25-5	Yes
30.	Tolbert, Chasen	Utah Valley		16-7	Yes
1.	Tomasello, Nathan	Ohio St.		22-0	Yes
27.	Youtsey, Conor	Michigan		12-13	Yes
