Seed	Name	Team	Grade	Record	Scoring
31.	Barber, Nick	Eastern Mich.		18-9	Yes
4.	Cimato, Matthew	Drexel		34-5	Yes
25.	Clagon, Bryant	Rider		19-10	Yes
11.	Collica, Anthony	Oklahoma St.		25-7	Yes
20.	Cotten, Colt	Buffalo		12-9	Yes
22.	Delgado, Joey	Oregon St.		23-14	Yes
10.	DePalma, Mike	Kent St.		23-7	Yes
17.	Dippery, Tyson	Rutgers		18-13	Yes
29.	Fahy, John	SIU Edwardsville		19-9	Yes
14.	Finesilver, Mitch	Duke		28-7	Yes
26.	Galasso, Joseph	Cornell		18-12	Yes
19.	Galiardo, Steven	Brown		21-8	Yes
21.	Gardner, Laike	Lehigh		21-9	Yes
23.	Griffin, Alex	Purdue		14-7	Yes
32.	Hammond, Coleman	Bakersfield		21-13	Yes
8.	Henderson, Evan	North Carolina		22-5	Yes
30.	Jeffries, Davion	Oklahoma		23-10	Yes
27.	Kocer, Alex	South Dakota St.		24-10	Yes
13.	Kraus, Matthew	Arizona St.		28-6	Yes
18.	Lopez, Victor	Bucknell		28-12	Yes
16.	Lugo, Patricio	Edinboro		29-7	Yes
12.	Martinez, Geo	Boise State		28-5	Yes
3.	Mayes, Lavion	Missouri		26-2	Yes
15.	Neff, Daniel	Lock Haven		26-8	Yes
9.	Oliver, Justin	Central Michigan		28-5	Yes
5.	Pantaleo, Alec	Michigan		24-5	Yes
24.	Ream, Clayton	North Dakota St.		21-16	Yes
1.	Retherford, Zain	Penn State		29-0	Yes
28.	Short, Jake	Minnesota		16-10	Yes
2.	Sorensen, Brandon	Iowa		25-1	Yes
7.	Sueflohn, Jake	Nebraska		27-6	Yes
6.	Tsirtsis, Jason	Northwestern		13-7	Yes
