Seed	Name	Team	Grade	Record	Scoring
22.	Baughman, Noah	Cornell		26-12	Yes
13.	Blockhus, Michael	Northern Iowa		22-10	Yes
16.	Cheek, Evan	Cleveland State		36-5	Yes
5.	Demas, Dom	Oklahoma		26-4	Yes
33.	Droegemueller, Dylan	North Dakota State		15-10	Yes
19.	Duncan, Dylan	Illinois		19-10	Yes
32.	Filius, Parker	Purdue		19-10	Yes
8.	Heil, Joshua	Campbell		29-4	Yes
14.	Hone, Dusty	Oklahoma State		21-9	Yes
28.	Kazimir, Matt	Columbia		26-9	Yes
23.	Laney, Shakur	Ohio		21-10	Yes
2.	Lee, Nick	Penn State		20-1	Yes
17.	Leeth, Grant	Missouri		15-5	Yes
25.	Lloren, DJ	Fresno State		22-6	Yes
27.	Matthews, Cole	Pittsburgh		16-9	Yes
10.	McKee, Mitch	Minnesota		25-7	Yes
18.	Moore, Mitch	Virginia Tech		17-8	Yes
9.	Moran, Tristan	Wisconsin		21-7	Yes
7.	Murin, Max	Iowa		16-3	Yes
4.	Parker, Ian	Iowa State		22-3	Yes
30.	Perry, Sa`Derian	Old Dominion		18-11	Yes
1.	Pletcher, Luke	Ohio State		26-1	Yes
31.	Pomrinca, Ryan	Lehigh		14-8	Yes
26.	Profaci, Salvatore	American		26-9	Yes
6.	Red, Chad	Nebraska		19-7	Yes
11.	Sherman, Zachary	North Carolina		27-5	Yes
20.	Shoop, Kyle	Lock Haven		22-7	Yes
12.	Simon, Dresden	Central Michigan		29-8	Yes
21.	Trybus, Cody	Navy		26-9	Yes
29.	Willits, Grant	Oregon State		23-9	Yes
15.	Wilson, Tariq	NC State		24-6	Yes
3.	Woods, Real	Stanford		19-1	Yes
24.	Zapf, Doug	Pennsylvania		29-7	Yes
