Seed	Name	Team	Grade	Record	Scoring
26.	Barone, Eric	Illinois		15-13	Yes
33.	Carida, Alex	Bloomsburg		17-12	Yes
3.	Carr, David	Iowa State		18-1	Yes
22.	Carson, Zac	Ohio		22-11	Yes
6.	Coleman, Kendall	Purdue		29-8	Yes
1.	Deakin, Ryan	Northwestern		21-0	Yes
4.	Dellavecchia, Jesse	Rider		30-2	Yes
15.	Early, Larry	Old Dominion		21-6	Yes
29.	Eischens, Tyler	Stanford		21-9	Yes
16.	Franek, Jared	North Dakota State		27-7	Yes
12.	Hartman, Markus	Army West Point		30-7	Yes
18.	Headlee, Austin	North Carolina		18-9	Yes
2.	Hidlay, Hayden	NC State		28-1	Yes
7.	Humphreys, Josh	Lehigh		20-5	Yes
14.	Jacques, Jarrett	Missouri		25-7	Yes
32.	Jones, Jahi	Maryland		12-8	Yes
30.	Klucker, Alexander	Lock Haven		14-10	Yes
28.	LaPrade, BC	Virginia Tech		13-9	Yes
10.	Lewan, Will	Michigan		21-7	Yes
27.	McCoy, Justin	Virginia		18-13	Yes
5.	Monday, Quincy	Princeton		24-4	Yes
21.	Parks, Logan	Central Michigan		22-12	Yes
23.	Rahmani, Taleb	Pittsburgh		18-9	Yes
13.	Robb, Peyton	Nebraska		20-6	Yes
19.	Ruffin, Justin	SIU Edwardsville		26-9	Yes
11.	Sheets, Wyatt	Oklahoma State		20-7	Yes
9.	Teemer, Jacori	Arizona State		17-5	Yes
17.	Thomas, Justin	Oklahoma		21-9	Yes
20.	Tucker, Jake	Michigan State		27-9	Yes
31.	Van Brill, Mike	Rutgers		19-18	Yes
25.	Wright, Jacob	Fresno State		25-8	Yes
8.	Young, Kaleb	Iowa		15-5	Yes
24.	Zovistoski, Matt	Appalachian State		28-7	Yes
