Seed	Name	Team	Grade	Record	Scoring
32.	Agee, Antonio	Old Dominion		24-14	Yes
25.	Allard, Trevor	Bloomsburg		24-4	Yes
11.	Assad, Abe	Iowa		22-7	Yes
2.	Bolen, Hunter	Virginia Tech		24-2	Yes
10.	Bonaccorsi, Nino	Pittsburgh		23-5	Yes
15.	Braunagel, Zach	Illinois		21-10	Yes
3.	Brooks, Aaron	Penn State		15-1	Yes
6.	Caffey, Cameron	Michigan State		27-7	Yes
12.	Carlson, Zach	South Dakota State		26-6	Yes
27.	Clothier, Alan	Northern Colorado		26-8	Yes
23.	Coleman, Marcus	Iowa State		17-11	Yes
4.	Deprez, Lou	Binghamton		26-5	Yes
26.	Embree, Jelani	Michigan		16-11	Yes
16.	Harvey, Tanner	American		24-8	Yes
5.	Hidlay, Trent	NC State		23-4	Yes
21.	Janzer, Billy	Rutgers		21-10	Yes
14.	Jordan, Rocky	Ohio State		29-9	Yes
28.	Loew, Jonathan	Cornell		26-13	Yes
33.	Loomer, Josh	CSU Bakersfield		10-14	Yes
1.	Lujan, Taylor	Northern Iowa		28-2	Yes
30.	Lyon, Max	Purdue		19-15	Yes
9.	Montalvo, Anthony	Oklahoma State		25-6	Yes
8.	Morgan, Andrew	Campbell		29-6	Yes
31.	Samuelson, Tate	Wyoming		19-14	Yes
24.	Sebastian, Johnny	Wisconsin		12-8	Yes
29.	Stefanik, Travis	Princeton		17-7	Yes
17.	Stewart, Noah	Army West Point		18-6	Yes
7.	Venz, Taylor	Nebraska		20-8	Yes
20.	Waddell, Matthew	Chattanooga		22-9	Yes
18.	Webster, Owen	Minnesota		22-12	Yes
13.	Weiler, Chris	Lehigh		17-7	Yes
19.	Wilson, Brit	Northern Illinois		21-3	Yes
22.	Wisman, Dylan	Missouri		19-8	Yes
