Seed	Name	Team	Grade	Record	Scoring
16.	Aguilar, Nic	Rutgers		24-11	Yes
10.	Camacho, Jakob	NC State		20-6	Yes
21.	Cardani, Justin	Illinois		16-10	Yes
15.	Cardinale, Kilian	Old Dominion		25-9	Yes
19.	Chalifoux, Trey	Army West Point		17-9	Yes
11.	Colaiocco, Michael	Pennsylvania		23-7	Yes
9.	Courtney, Brandon	Arizona State		25-5	Yes
22.	Cronin, Liam	Indiana		17-13	Yes
20.	Curry, Gage	American		30-9	Yes
8.	DeAugustino, Michael	Northwestern		21-8	Yes
28.	DiSario, Jackson	Stanford		21-9	Yes
2.	Glory, Pat	Princeton		24-0	Yes
30.	Griffin, Logan	Michigan State		19-17	Yes
25.	Gutierrez, Fabian	Chattanooga		18-9	Yes
27.	Heinselman, Malik	Ohio State		18-15	Yes
6.	Hildebrandt, Drew	Central Michigan		31-3	Yes
32.	LaJoie, Dominic	Cornell		16-20	Yes
1.	Lee, Spencer	Iowa		18-0	Yes
12.	Mackall, Alex	Iowa State		19-7	Yes
23.	Manchio, Joe	Columbia		25-11	Yes
24.	McKee, Patrick	Minnesota		17-8	Yes
14.	Medley, Jack	Michigan		19-12	Yes
26.	Meink, Korbin	Campbell		22-11	Yes
33.	Mininno, Antonio	Drexel		9-14	Yes
31.	Moody, Christian	Oklahoma		11-15	Yes
4.	Mueller, Jack	Virginia		13-1	Yes
7.	Paetzell, Brandon	Lehigh		21-3	Yes
3.	Piccininni, Nicholas	Oklahoma State		26-2	Yes
18.	Prata, Joey	Virginia Tech		19-11	Yes
5.	Schroder, Devin	Purdue		26-5	Yes
17.	Schwarm, Jacob	Northern Iowa		21-10	Yes
29.	Thomsen, Edwin	Nebraska		13-15	Yes
13.	Werner, Luke	Lock Haven		30-5	Yes
