Seed	Name	Team	Grade	Record	Scoring
2.	Adams, Noah	West Virginia		32-0	Yes
7.	Aiello, Jay	Virginia		27-4	Yes
24.	Braun, Gage	Northern Illinois		23-12	Yes
20.	Brown, JT	Army West Point		21-9	Yes
8.	Brucki, Patrick	Princeton		21-5	Yes
6.	Brunner, Christian	Purdue		25-6	Yes
26.	Buchanan, Stephen	Wyoming		26-13	Yes
10.	Bulsak, Greg	Clarion		27-5	Yes
4.	Darmstadt, Ben	Cornell		28-6	Yes
15.	Davison, Lucas	Northwestern		17-8	Yes
31.	Eaton, Cordell	North Dakota State		15-12	Yes
14.	Geer, Dakota	Oklahoma State		24-8	Yes
22.	Jakobsen, Jake	Lehigh		16-9	Yes
23.	Koelling, Wyatt	Missouri		20-7	Yes
16.	Laird, Ethan	Rider		24-7	Yes
13.	Lane, Thomas	Cal Poly		20-5	Yes
33.	McLaughlin, Bryan	Drexel		18-16	Yes
1.	Moore, Kollin	Ohio State		27-0	Yes
9.	Norfleet, Kordell	Arizona State		14-3	Yes
17.	Pagano, Jordan	Rutgers		22-8	Yes
28.	Pelham, Landon	Central Michigan		21-12	Yes
19.	Phipps, Drew	Bucknell		31-7	Yes
21.	Rasheed, Shakur	Penn State		8-6	Yes
29.	Ritter, Hunter	Minnesota		20-10	Yes
32.	Samuel, Demazio	Appalachian State		19-9	Yes
3.	Schultz, Eric	Nebraska		23-4	Yes
25.	Seely, Jacob	Northern Colorado		18-9	Yes
11.	Sloan, Tanner	South Dakota State		21-6	Yes
27.	Striggow, Jackson	Michigan		20-10	Yes
12.	Traxler, Nathan	Stanford		20-5	Yes
30.	Urbas, Cole	Pennsylvania		21-13	Yes
5.	Warner, Jacob	Iowa		20-4	Yes
18.	Woodley, Jake	Oklahoma		20-9	Yes
