Seed	Name	Team	Grade	Record	Scoring
19.	Bastian, Kimball	Utah Valley		17-8	Yes
15.	Bullard, Daniel	NC State		24-6	Yes
16.	Carey, Spencer	Navy		21-7	Yes
13.	Colbray, Samuel	Iowa State		18-9	Yes
32.	Eaglin, Mason	Duke		21-13	Yes
26.	Flitz, Thomas	Appalachian State		30-11	Yes
20.	Flynn, Connor	Missouri		22-8	Yes
17.	Gunther, Joseph	Illinois		17-9	Yes
1.	Hall, Mark	Penn State		23-1	Yes
22.	Harvey, Gregg	Pittsburgh		17-8	Yes
18.	Harvey, Ben	Army West Point		23-9	Yes
29.	Hastings, Hayden	Wyoming		23-10	Yes
31.	Hughes, Cody	Virginia Tech		13-12	Yes
2.	Kemerer, Michael	Iowa		15-1	Yes
3.	Kutler, Jordan	Lehigh		21-1	Yes
10.	Labriola, Mikey	Nebraska		20-10	Yes
14.	Lautt, Clay	North Carolina		21-7	Yes
4.	Lydy, Dylan	Purdue		31-2	Yes
25.	Malczewski, Layne	Michigan State		25-13	Yes
9.	Mantanona, Anthony	Oklahoma		21-7	Yes
21.	McNally, Andrew	Kent State		31-7	Yes
24.	Oliver, Jacob	Edinboro		25-6	Yes
28.	O`Malley, Michael	Drexel		20-9	Yes
11.	Richards, Neal	VMI		38-7	Yes
6.	Romero, Kaleb	Ohio State		19-7	Yes
23.	Sherry, Dean	Rider		24-8	Yes
27.	Siegrist, Jared	Lock Haven		24-11	Yes
7.	Skatzka, Devin	Minnesota		28-10	Yes
12.	Smith, Joseph	Oklahoma State		12-6	Yes
33.	Spadafora, Phillip	Maryland		17-16	Yes
5.	Steiert, Bryce	Northern Iowa		27-3	Yes
8.	Valencia, Anthony	Arizona State		22-6	Yes
30.	Womack, Brandon	Cornell		14-7	Yes
