Seed	Name	Team	Grade	Record	Scoring
12.	Andrews, Brian	Wyoming		30-7	Yes
31.	Bagoly, Tyler	Clarion		16-6	Yes
17.	Borst, John	Virginia Tech		21-9	Yes
3.	Cassioppi, Tony	Iowa		20-3	Yes
30.	Cloud, Ryan	Rider		28-12	Yes
26.	Earnest, Jordan	Ohio		23-11	Yes
27.	Furman, Brendan	Cornell		22-12	Yes
10.	Gremmel, Gannon	Iowa State		26-8	Yes
29.	Gunning, Andrew	North Carolina		12-14	Yes
4.	Hall, Tanner	Arizona State		23-3	Yes
14.	Heino, Jere	Campbell		24-5	Yes
6.	Hillger, Trent	Wisconsin		23-6	Yes
11.	Hokit, Josh	Fresno State		23-4	Yes
32.	Ihry, Max	Northern Illinois		20-10	Yes
13.	Isley, Carter	Northern Iowa		20-10	Yes
20.	Jensen, David	Nebraska		17-6	Yes
28.	Knighton-Ward, Zachary	Hofstra		23-14	Yes
33.	Luffman, Luke	Illinois	9	16-11	Yes
19.	Metz, Brandon	North Dakota State		22-10	Yes
22.	Miller, Quinn	Virginia		19-7	Yes
16.	Miller, Cary	Appalachian State		32-5	Yes
8.	Orndorff, Tate	Utah Valley		18-4	Yes
2.	Parris, Mason	Michigan		28-1	Yes
25.	Penola, Thomas	Purdue		21-14	Yes
15.	Robertson, Dalton	Northern Colorado		17-8	Yes
24.	Spaulding, Jon	Edinboro		26-9	Yes
5.	Stencel, Matt	Central Michigan		30-4	Yes
1.	Steveson, Gable	Minnesota		15-0	Yes
23.	Sullivan, Ben	Army West Point		16-8	Yes
7.	Thomas, Demetrius	Pittsburgh		21-3	Yes
18.	Traub, Gary	Ohio State		23-9	Yes
21.	Wilson, Deonte	NC State		19-9	Yes
9.	Wood, Jordan	Lehigh		17-5	Yes
