Seed	Name	Team	Grade	Record	Scoring
21.	Accordino, Justin	Hofstra	11	23-11	Yes
18.	Bradley, Kyle	Missouri	10	21-11	Yes
24.	Brascetta, Nick	Virginia Tech	9	21-4	Yes
22.	Busler, Bryce	Bloomsburg	11	26-10	Yes
35.	Friedley, Kaleb	Northwestern	10	20-11	Yes
8.	Grajales, Eric	Michigan	10	18-6	Yes
9.	Habat, David	Edinboro	9	35-6	Yes
23.	Jantzen, Corey	Harvard	12	9-2	Yes
36.	Lester, Nick	Oklahoma	10	20-10	Yes
12.	Lopouchanski, Ivan	Purdue	11	16-6	Yes
50.	Mason, Mario	Rutgers	11	19-3	Yes
5.	Miller, Ian	Kent St.	9	28-3	Yes
1.	Molinaro, Frank	Penn State	12	28-0	Yes
6.	Nauman, Tyler	Pittsburgh	12	27-5	Yes
16.	Nereim, Matthew	North Carolina St.	10	21-13	Yes
7.	Ness, Dylan	Minnesota	9	20-8	Yes
20.	Osterman, Dan	Michigan St.	11	25-15	Yes
2.	Parks, Jamal	Oklahoma St.	12	30-0	Yes
38.	Pavlou, Dean	Chattanooga	11	20-9	Yes
40.	Robertson, Stephen	Pennsylvania	9	24-8	Yes
17.	Sakaguchi, Scott	Oregon St.	9	33-5	Yes
31.	Sako, Augustus	Virginia	10	21-6	Yes
19.	Santos, Steve	Columbia	10	23-9	Yes
13.	Tao, Kevin	American	10	19-14	Yes
37.	Terrazas, Eric	Illinois	11	23-11	Yes
10.	Tessari, Cam	Ohio St.	9	22-9	Yes
32.	Villalonga, Chris	Cornell	10	25-10	Yes
4.	Vinson, Donald	Binghamton	11	33-4	Yes
3.	VonOhlen, Cole	Air Force	11	36-2	Yes
11.	Walsh, Taylor	Indiana	9	28-10	Yes
39.	Welsh, Shane	Lehigh	11	24-5	Yes
14.	Wilkinson, Owen	Lock Haven	12	22-14	Yes
47.	Wilson, Josh	Utah Valley	11	18-9	Yes
