Seed	Name	Team	Grade	Record	Scoring
7.	Alton, Dylan	Penn State	9	24-5	Yes
25.	Barnhisel, Bobby	Navy	11	17-10	Yes
29.	Bonin, David	Northern Iowa	11	29-7	Yes
46.	Churchard, Tommy	Purdue	11	18-18	Yes
44.	Corby, Donnie	Central Michigan	11	16-9	Yes
1.	Dake, Kyle	Cornell	11	30-0	Yes
37.	Demas, Josh	Ohio St.	9	20-13	Yes
6.	Fleming, James	Clarion	12	27-2	Yes
11.	Green, James	Nebraska	9	30-7	Yes
8.	Hickman, Frank	Bloomsburg	11	29-5	Yes
34.	Houdashelt, Drake	Missouri	9	27-5	Yes
17.	Ivanov, Georgi	Boise State	11	22-6	Yes
52.	John, Kyle	Maryland	12	23-9	Yes
10.	Jones, Anthony	Michigan St.	12	21-8	Yes
45.	Kolodzik, Daniel	Princeton	12	31-9	Yes
16.	Kreimier, Joshua	Air Force	10	23-14	Yes
35.	Lester, Matt	Oklahoma	10	20-9	Yes
9.	Lister, Justin	Binghamton	12	26-5	Yes
18.	Mock, Corey	North Carolina	10	26-10	Yes
12.	Monk, Steven	North Dakota St.	10	32-7	Yes
32.	Nicholson, John	Old Dominion	10	26-6	Yes
39.	O`Hara, Jake	Columbia	10	26-13	Yes
51.	Palmer, Colton	North Carolina St.	12	18-14	Yes
50.	Pena, Roger	Oregon St.	10	28-7	Yes
4.	Peppelman, Walter	Harvard	11	26-4	Yes
5.	Sanjaa, Ganbayar	American	11	22-3	Yes
28.	Shuster, Mallie	Kent St.	10	26-15	Yes
2.	St. John, Derek	Iowa	10	17-2	Yes
24.	Sulzer, Aaron	Eastern Mich.	11	19-9	Yes
22.	Tanen, Brian	Lehigh	12	7-15	Yes
27.	Waddell, Daniel	Chattanooga	12	21-9	Yes
3.	Welch, Jason	Northwestern	11	23-1	Yes
23.	White, Albert	Oklahoma St.	12	24-9	Yes
