Seed	Name	Team	Grade	Record	Scoring
54.	Alexander, Geoffrey	Maryland	9	22-10	Yes
25.	Arujau, Naryman	Cornell	10	5-5	Yes
31.	Beckman, Mason	Lehigh	9	30-11	Yes
6.	Carter, Devin	Virginia Tech	10	30-3	Yes
5.	Colon, Joe	Northern Iowa	10	25-2	Yes
10.	Dardanes, Chris	Minnesota	9	23-10	Yes
18.	Drucker, Garrett	Oregon St.	11	25-8	Yes
52.	Festejo, Scott	Old Dominion	10	23-14	Yes
23.	Franco, Jamie	Hofstra	10	21-11	Yes
4.	Futrell, Bernard	Illinois	10	27-6	Yes
21.	Horan, Zach	Central Michigan	9	15-11	Yes
51.	Kalil, Aaron	Navy	12	31-9	Yes
11.	Keith, Steven	Harvard	11	30-8	Yes
22.	Keller, Jordan	Oklahoma	12	21-8	Yes
28.	Kiley, Ridge	Nebraska	9	17-14	Yes
48.	Lomas, Frank	CSU Bakersfield	12	23-5	Yes
16.	Mack, Shelton	Pittsburgh	10	20-8	Yes
33.	Martellotti, Frank	Penn State	10	8-9	Yes
27.	McCormick, Nathan	Missouri	10	14-5	Yes
24.	McGough, Shane	Arizona St.	9	17-14	Yes
39.	Nelson, Matthew	Virginia	12	17-5	Yes
1.	Oliver, Jordan	Oklahoma St.	11	24-1	Yes
12.	Ortenzio, Bryan	Pennsylvania	12	27-3	Yes
35.	Owen, Brian	Boise State	11	8-1	Yes
19.	Pennesi, Nathan	West Virginia	11	29-8	Yes
9.	Quiroga, Cashé	Purdue	10	20-6	Yes
3.	Ramos, Tony	Iowa	10	28-3	Yes
7.	Schopp, Aaron (A.J.)	Edinboro	9	36-4	Yes
36.	Soto, Nick	Chattanooga	9	25-6	Yes
8.	Stevens, Zachery	Michigan	12	23-9	Yes
2.	Stieber, Logan	Ohio St.	9	28-2	Yes
15.	Thome, Jordan	Army	10	26-11	Yes
45.	Zehner, Zach	Wyoming	9	28-11	Yes
