Seed	Name	Team	Grade	Record	Scoring
4.	Boley, Christian	Maryland	10	30-1	Yes
13.	Budi, Joe	Old Dominion	12	22-12	Yes
11.	Burak, Micah	Pennsylvania	11	19-4	Yes
5.	Byers, Cayle	Oklahoma St.	12	23-3	Yes
22.	Campolattano, Andrew	Ohio St.	9	20-12	Yes
28.	Chriswell, Brent	Boise State	11	14-2	Yes
40.	Fox, James	Harvard	9	21-11	Yes
7.	Gonzalez, Mario	Illinois	9	23-7	Yes
31.	Hall, Keldrick	Oklahoma	11	21-10	Yes
6.	Haynes, Brent	Missouri	10	23-6	Yes
9.	Hernandez, Alfonso	Wyoming	11	36-5	Yes
2.	Honeycutt, Christopher	Edinboro	12	36-1	Yes
38.	Huntley, Maxwell	Michigan	9	15-12	Yes
12.	Kennedy, Joseph	Lehigh	12	21-5	Yes
14.	Kissel, A.J.	Purdue	12	6-5	Yes
16.	McIntosh, Morgan	Penn State	9	17-8	Yes
17.	Meeks, Taylor	Oregon St.	9	19-6	Yes
24.	Mitchell, Daniel	American	9	20-11	Yes
45.	Nakashima, James	Nebraska	12	19-9	Yes
32.	Palik, Brandon	Drexel	10	25-13	Yes
44.	Perry, Richard	Bloomsburg	10	31-10	Yes
8.	Powless, Matt	Indiana	11	33-4	Yes
36.	Reed, Cody	Binghamton	10	23-16	Yes
50.	Rinaldi, Daniel	Rutgers	11	25-6	Yes
1.	Simaz, Cam	Cornell	12	26-1	Yes
20.	Smith, Kelby	Citadel	12	34-7	Yes
42.	Smith, Ryan	Cal Poly	12	21-12	Yes
39.	Stanley, Derek	Army	11	23-15	Yes
35.	Tovuujav, Bagna	George Mason	12	20-3	Yes
46.	Weakley, John	Campbell	12	29-10	Yes
3.	Wilps, Matthew	Pittsburgh	11	30-3	Yes
18.	Witt, Keith	Kent St.	10	26-13	Yes
10.	Yohn, Sonny	Minnesota	12	26-5	Yes
