Seed	Name	Team	Grade	Record	Scoring
8.	Allred, Silas	Nebraska		17-7	Yes
30.	Bienus, Tyler	Bucknell		19-14	Yes
27.	Brenot, Aidan	North Dakota State		16-9	Yes
21.	Brooker, Tomas	Appalachian State		26-8	Yes
14.	Bullock, Jaden	Virginia Tech		20-10	Yes
17.	Bush, Ian	West Virginia		19-10	Yes
10.	Campos, Caleb	American		25-6	Yes
11.	Cartagena-Walsh, Shane	Rutgers		24-8	Yes
4.	Conway, James	Franklin & Marshall		32-2	Yes
24.	Curtis, Joe	Columbia		26-2	Yes
18.	Dailey, Jake	North Carolina		18-4	Yes
13.	Dean, Isaac	Iowa State		17-7	Yes
25.	DuVall, Malachi	George Mason		24-5	Yes
7.	Ferrari, Angelo	Iowa		11-3	Yes
12.	Fishback, Dylan	Ohio State		18-8	Yes
29.	Fox, Nick	Northern Iowa		12-5	Yes
23.	Garza, Ceasar	Cal Poly		18-2	Yes
33.	Goin, Sam	Indiana		12-8	Yes
26.	Kranitz, Chase	Pittsburgh		15-9	Yes
5.	Mantanona, Brock	Michigan		19-6	Yes
3.	McEnelly, Max	Minnesota		19-2	Yes
19.	McGill, Jared	Edinboro		17-3	Yes
9.	Moore, Chris	Illinois		18-10	Yes
6.	Neitenbach, Eddie	Wyoming		20-6	Yes
15.	Perrine, Sal	Ohio		19-4	Yes
16.	Rogers, Rylan	Lehigh		18-6	Yes
31.	Rushton, Mahonri	Northern Colorado		17-14	Yes
22.	Ryder, Zack	Oklahoma State		12-8	Yes
2.	Sinclair, Aeoden	Missouri		30-1	Yes
20.	Soldano, Brian	Oklahoma		13-8	Yes
32.	Uhlenhopp, Caleb	Utah Valley		16-14	Yes
1.	Welsh, Rocco	Penn State		20-0	Yes
28.	Wojcikiewicz, Abraham	Stanford		17-11	Yes
