Seed	Name	Team	Grade	Record	Scoring
7.	Bailey, Nasir	Iowa		14-7	Yes
26.	Basile, Braden	Army West Point		17-6	Yes
23.	Chappell, Dylan	Bucknell		21-10	Yes
11.	Composto, CJ	Penn		16-4	Yes
10.	Consiglio, Jack	Stanford		14-5	Yes
6.	Cornella, Vince	Cornell		19-1	Yes
25.	Crook, Tom	Virginia Tech		20-12	Yes
14.	Davis, Braeden	Penn State		12-5	Yes
31.	DeKraker, Billy	Northwestern		15-12	Yes
19.	Drury, Haiden	Utah Valley		21-9	Yes
4.	Echemendia, Anthony	Iowa State		19-3	Yes
22.	Frezza, Lorenzo	Columbia		23-10	Yes
15.	Griffin, Elijah	Rider		26-7	Yes
3.	Hardy, Brock	Nebraska		20-5	Yes
13.	Henson, Wyatt	Lock Haven		24-5	Yes
33.	Hernandez, Aldo	Appalachian State		18-14	Yes
16.	Jack, Ryan	NC State		15-7	Yes
30.	Lemus, Dario	Maryland		17-13	Yes
28.	Manville, Pierson	Arizona State		17-9	Yes
32.	Martino, Matthew	Princeton		15-15	Yes
1.	Mendez, Jesse	Ohio State		22-0	Yes
18.	Nogle, Carter	Air Force		25-8	Yes
9.	Olivieri, Joey	Rutgers		19-2	Yes
27.	Porter, Gable	Virginia		20-8	Yes
17.	Ricciardi, Caedyn	Navy		18-8	Yes
12.	Simcox, Luke	North Carolina		16-6	Yes
24.	Singleton, Nash	Oregon State		15-7	Yes
5.	Stanich, Luke	Lehigh		13-0	Yes
20.	Tagg, Julian	South Dakota State		18-6	Yes
29.	Titus, Jordan	West Virginia		16-14	Yes
2.	Vega, Sergio	Oklahoma State		19-0	Yes
8.	Vombaur, Vance	Minnesota		21-6	Yes
21.	Wells, Tyler	Oklahoma		16-9	Yes
