Seed	Name	Team	Grade	Record	Scoring
15.	Block, Ryder	Iowa		13-8	Yes
28.	Brown, Kade	Pittsburgh		14-8	Yes
5.	Buesgens, Koy	NC State		21-3	Yes
29.	Cassidy, Kaden	George Mason		15-4	Yes
24.	Clark, Andrew	Rutgers		16-10	Yes
9.	Evans, David	Utah Valley		20-5	Yes
16.	Frost, Jacob	Iowa State		17-7	Yes
4.	Gaj, Collin	Virginia Tech		20-8	Yes
25.	Gioffre, Michael	Illinois		16-10	Yes
27.	Gonzales, Andre	Cal Poly		17-11	Yes
18.	Harney, Eugene	Morgan State		28-4	Yes
26.	Heap, Anderson	Davidson		20-9	Yes
19.	Herman, Brock	Little Rock		13-3	Yes
32.	Jones, Clayton	Michigan State		11-15	Yes
2.	Joy, Jaxon	Cornell		24-1	Yes
17.	Kapusta, Lucas	Lock Haven		25-4	Yes
20.	Lamer, Chance	Nebraska		17-8	Yes
30.	Layton, Dylan	Rider		25-9	Yes
33.	McBurney, Austin	Brown		21-13	Yes
11.	McNeil, Lachlan	Michigan		17-6	Yes
31.	Michaels, Ryan	Edinboro		24-9	Yes
23.	Petersen, Max	North Dakota State		15-8	Yes
14.	Rathjen, Caleb	Northern Iowa		9-6	Yes
22.	Rivera, Eligh	Princeton		13-9	Yes
7.	Stiles, Ethan	Ohio State		15-5	Yes
8.	Swiderski, Casey	Oklahoma State		14-5	Yes
6.	Tyus, Caleb	SIU Edwardsville		22-2	Yes
10.	Valencia, Aden	Stanford		16-7	Yes
1.	Van Ness, Shayne	Penn State		21-0	Yes
3.	Wasilewski, Cross	Penn		24-3	Yes
21.	Willochell, Gabe	Wyoming		17-8	Yes
12.	Young, Carter	Maryland		15-4	Yes
13.	Zargo, Joseph	Wisconsin		18-6	Yes
