Seed	Name	Team	Grade	Record	Scoring
27.	Arnold, Gabe	Iowa		18-7	Yes
1.	Barr, Josh	Penn State		19-0	Yes
25.	Bates, Evan	Missouri		21-9	Yes
17.	Bechtold, Dillon	Bucknell		15-4	Yes
31.	Bennie, Kael	Utah Valley		15-16	Yes
13.	Berge, Bennett	South Dakota State		16-5	Yes
15.	Cotton, Remy	Rutgers		18-7	Yes
2.	Elam, Rocky	Iowa State		18-0	Yes
12.	Geog, Luke	Ohio State		16-7	Yes
29.	Hawks, Colton	Arizona State		7-9	Yes
20.	Ingham, Wyatt	Wisconsin		17-8	Yes
16.	John, Branson	Maryland		25-7	Yes
21.	Lawrence, Rune	West Virginia		17-11	Yes
19.	Lehman, Zayne	Ohio		19-2	Yes
3.	Little, Stephen	Little Rock		15-2	Yes
11.	McDanel, Camden	Nebraska		20-6	Yes
7.	Merrill, Cody	Oklahoma State		17-4	Yes
5.	Novak, Joey	Wyoming		17-3	Yes
8.	Parker, DJ	Oklahoma		19-8	Yes
9.	Posada, Angelo	Stanford		16-5	Yes
6.	Rademacher, Justin	Oregon State		23-3	Yes
18.	Reall, Andrew	Brown		34-4	Yes
30.	Rule, Kade	Chattanooga		18-5	Yes
4.	Sasso, Sonny	Virginia Tech		25-5	Yes
32.	Schaffer, Blake	Kent State		22-9	Yes
14.	Sollars, Gabe	Indiana		15-10	Yes
23.	Squires, Mikey	Binghamton		19-3	Yes
10.	Stout, Mac	Pittsburgh		19-4	Yes
33.	Tompkins, Karson	Air Force		21-12	Yes
26.	Vanadia, Ben	Purdue		15-10	Yes
22.	Wasley, Devin	North Dakota State		21-10	Yes
28.	Wisler, Kael	Michigan State		25-10	Yes
24.	Zurawski, Brock	Rider		22-5	Yes
