Seed	Name	Team	Grade	Record	Scoring
23.	Burgess, Kaleb	Buffalo		18-7	Yes
8.	Cannon, Brandon	Ohio State		18-2	Yes
9.	Cardenas, Daniel	Stanford		17-3	Yes
15.	Catrabone, Cameron	Michigan		18-8	Yes
33.	Charles, Yannis	Morgan State		5-8	Yes
28.	Drexler, Gavin	North Dakota State		16-10	Yes
1.	Duke, PJ	Penn State		19-1	Yes
27.	Evans, Dylan	Pittsburgh		21-8	Yes
20.	Harrington, Jimmy	Harvard		21-8	Yes
24.	Jones, Jaivon	Little Rock		19-9	Yes
4.	Larkin, Kaleb	Arizona State		24-2	Yes
26.	Ley, Jonathan	Navy		26-12	Yes
29.	Lowery, Bryce	Indiana		12-11	Yes
31.	McChesney, Garrett	Edinboro		12-14	Yes
18.	McGee, DJ	George Mason		24-4	Yes
17.	Mechler, Luke	Wisconsin		18-8	Yes
21.	Millard, Charlie	Minnesota		18-9	Yes
14.	Miller, Ethen	Virginia Tech		16-6	Yes
19.	Owen, Kai	Columbia		18-7	Yes
32.	Prechtel, Jeb	Bellarmine		18-14	Yes
13.	Raike, Derek	Ohio		21-5	Yes
5.	Robideau, Landon	Oklahoma State		16-2	Yes
30.	Root, Laird	North Carolina		16-11	Yes
10.	Rozynski, Logan	Lehigh		13-3	Yes
3.	Shapiro, Meyer	Cornell		15-1	Yes
25.	Shrader, Mason	Central Michigan		24-10	Yes
16.	Swensen, Cael	South Dakota State		24-7	Yes
6.	Swisher, Jude	Penn		20-3	Yes
2.	Taylor, Antrell	Nebraska		22-3	Yes
22.	Washleski, Colton	Virginia		20-10	Yes
11.	Watters, Ty	West Virginia		22-3	Yes
7.	Webster, Kannon	Illinois		20-4	Yes
12.	Zerban, Vinny	Iowa State		15-4	Yes
