Seed	Name	Team	Grade	Record	Scoring
18.	Andrick, Gunner	West Virginia		24-8	Yes
32.	Austin, Andrew	Central Michigan		20-13	Yes
6.	Ayala, Drake	Iowa		13-8	Yes
8.	Baker, Markel	Northern Illinois		26-4	Yes
14.	Berginc, Ethan	Army West Point		16-6	Yes
25.	Betancourt, Will	Rider		23-8	Yes
3.	Blaze, Marcus	Penn State		21-1	Yes
24.	Boarman, Blake	Purdue		12-15	Yes
23.	Brown, Braxton	Maryland		17-9	Yes
7.	Byrd, Lucas	Illinois		20-2	Yes
2.	Davino, Ben	Ohio State		27-1	Yes
17.	Davis, T.K.	Gardner-Webb		24-1	Yes
20.	Farber, Julian	Northern Iowa		18-9	Yes
11.	Ferrara, Tyler	Cornell		23-7	Yes
1.	Forrest, Jax	Oklahoma State		13-0	Yes
16.	Fugitt, Zan	Wisconsin		20-6	Yes
28.	Grice, Garrett	Iowa State		6-3	Yes
15.	Knox, Tyler	Stanford		14-5	Yes
5.	Larkin, Kyler	Arizona State		18-2	Yes
10.	Leete, Maximilian	American		16-5	Yes
27.	Lopez, Marcel	SIU Edwardsville		26-9	Yes
12.	Mougalian, Evan	Penn		21-5	Yes
22.	Redding, Zach	NC State		12-8	Yes
33.	Schmidt, Carter	Oklahoma		7-14	Yes
4.	Seidel, Aaron	Virginia Tech		18-1	Yes
9.	Serrano, Dominick	Northern Colorado		15-3	Yes
26.	Shawver, Dylan	Rutgers		20-11	Yes
21.	Spidle, Sean	Northwestern		15-8	Yes
31.	Strickland, Gable	Lock Haven		26-9	Yes
13.	Van Dee, Jacob	Nebraska		17-6	Yes
19.	Walker, Gage	Missouri		17-7	Yes
30.	Whisenhunt, Gabe	Oregon State		9-8	Yes
29.	Willochell, Luke	Wyoming		15-10	Yes
