Seed	Name	Team	Grade	Record	Scoring
30.	Bah, Sulayman	Columbia		23-12	Yes
28.	Binni, Andrew	Navy		17-9	Yes
3.	Bouzakis, Nic	Ohio State		16-2	Yes
29.	Chappell, Tyler	Pittsburgh		13-13	Yes
26.	Flynn, Cooper	Chattanooga		18-4	Yes
21.	Hendriksen, Conrad	Oklahoma		15-12	Yes
15.	Holeman, Koda	Cal Poly		19-5	Yes
11.	Klinsky, Tyler	Rider		26-3	Yes
25.	Lauridsen, Kael	Nebraska		16-11	Yes
1.	Lilledahl, Luke	Penn State		20-0	Yes
32.	Mauger, Mack	Missouri		22-14	Yes
10.	McGowan, Marc-Anthony	Princeton		15-6	Yes
18.	Moore, Spencer	Illinois		17-8	Yes
14.	Moran, Jacob	Indiana		17-5	Yes
22.	Motyka, Davis	Penn		17-5	Yes
8.	Peterson, Dean	Iowa		14-6	Yes
31.	Pleasant, Desmond	Drexel		23-8	Yes
13.	Poulin, Stevo	Iowa State		15-7	Yes
7.	Provo, Nico	Stanford		13-5	Yes
9.	Renteria, Maximo	Oregon State		20-3	Yes
23.	Rivera, Nicolar	Wisconsin		18-7	Yes
27.	Roark, Brady	South Dakota State		21-7	Yes
12.	Robinson, Vincent	NC State		15-4	Yes
33.	Schafer, Jace	Bloomsburg		23-8	Yes
4.	Seymour, Sheldon	Lehigh		19-0	Yes
24.	Smith, Ayden	Rutgers		16-11	Yes
20.	Sotelo, Diego	Michigan		13-12	Yes
5.	Spratley, Troy	Oklahoma State		16-3	Yes
17.	Strickenberger, Jett	West Virginia		19-7	Yes
19.	Terukina, Kysen	North Carolina		15-6	Yes
2.	Ventresca, Eddie	Virginia Tech		19-2	Yes
6.	Volk, Jore	Minnesota		22-5	Yes
16.	Witt, Ezekiel	North Dakota State		23-11	Yes
