Seed	Name	Team	Grade	Record	Scoring
23.	Augustine, Luca	Pittsburgh		12-6	Yes
13.	Baer, Carter	Binghamton		18-4	Yes
29.	Bassett, Avery	Lock Haven		22-7	Yes
22.	Baumann, Brody	Purdue		16-8	Yes
27.	Carrigan, Collin	North Carolina		13-10	Yes
32.	Condon, Luke	Wisconsin		13-13	Yes
30.	Davis, Riley	Wyoming		11-10	Yes
25.	Desiante, Sergio	Virginia Tech		20-13	Yes
14.	Espinoza-Owens, Moses	South Dakota State		27-8	Yes
8.	Facundo, Alex	Oklahoma State		16-6	Yes
16.	Fine, Nick	Columbia		24-8	Yes
11.	Gaitan, MJ	Iowa State		16-6	Yes
28.	Garcia, Holden	Princeton		21-10	Yes
26.	Gilcher, Derek	Indiana		14-10	Yes
1.	Haines, Levi	Penn State		21-0	Yes
18.	Kelly, Colin	Illinois		18-8	Yes
5.	Kennedy, Patrick	Iowa		18-4	Yes
4.	Kharchla, Carson	Ohio State		18-4	Yes
20.	Lamer, Daschle	Oregon State		19-3	Yes
9.	Mantanona, Beau	Michigan		21-7	Yes
19.	Messer, Logan	George Mason		26-6	Yes
3.	Minto, Christopher	Nebraska		20-5	Yes
33.	O`Dell, Grant	Bellarmine		24-8	Yes
21.	Pinto, Lenny	Rutgers		13-10	Yes
2.	Ruiz, Simon	Cornell		16-0	Yes
12.	Schubert, Carter	Oklahoma		19-6	Yes
17.	Simma, Jared	Northern Iowa		14-9	Yes
6.	Singleton, Matty	NC State		16-3	Yes
7.	Steed, Cam	Missouri		15-5	Yes
10.	Takats, Myles	Bucknell		22-6	Yes
24.	Thompson, Garrett	Ohio		16-3	Yes
31.	Valencia, Cael	Arizona State		16-10	Yes
15.	Wask, Danny	Navy		22-4	Yes
